seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read,fix_quality
1,1711219257.0,GPS1_Frame,41.973258333333334,-87.90019833333334,168.8,425416.17961300083,4647198.998791307,16,T,1.9,"$GPGGA,184057.000,4158.3955,N,08754.0119,W,1,06,1.9,168.8,M,-34.1,M,,0000*66",
2,1711219258.0,GPS1_Frame,41.973258333333334,-87.90019833333334,168.8,425416.17961300083,4647198.998791307,16,T,1.9,"$GPGGA,184058.000,4158.3955,N,08754.0119,W,1,06,1.9,168.8,M,-34.1,M,,0000*69",
3,1711219259.0,GPS1_Frame,41.973256666666664,-87.90019833333334,168.9,425416.1776684221,4647198.813741627,16,T,1.9,"$GPGGA,184059.000,4158.3954,N,08754.0119,W,1,06,1.9,168.9,M,-34.1,M,,0000*68",
4,1711219260.0,GPS1_Frame,41.973256666666664,-87.90019833333334,168.9,425416.1776684221,4647198.813741627,16,T,1.9,"$GPGGA,184100.000,4158.3954,N,08754.0119,W,1,06,1.9,168.9,M,-34.1,M,,0000*65",
5,1711219261.0,GPS1_Frame,41.973256666666664,-87.90019666666667,169.0,425416.3157574011,4647198.8122905325,16,T,1.9,"$GPGGA,184101.000,4158.3954,N,08754.0118,W,1,06,1.9,169.0,M,-34.1,M,,0000*6D",
6,1711219262.0,GPS1_Frame,41.97325333333333,-87.90019666666667,169.2,425416.31186825107,4647198.442191172,16,T,1.1,"$GPGGA,184102.000,4158.3952,N,08754.0118,W,1,07,1.1,169.2,M,-34.1,M,,0000*63",
7,1711219263.0,GPS1_Frame,41.97325,-87.90019666666667,169.5,425416.30797910126,4647198.072091815,16,T,1.1,"$GPGGA,184103.000,4158.3950,N,08754.0118,W,1,07,1.1,169.5,M,-34.1,M,,0000*67",
8,1711219264.0,GPS1_Frame,41.973243333333336,-87.900195,170.1,425416.4382898123,4647197.330442006,16,T,1.1,"$GPGGA,184104.000,4158.3946,N,08754.0117,W,1,07,1.1,170.1,M,-34.1,M,,0000*64",
9,1711219265.0,GPS1_Frame,41.973236666666665,-87.90019333333333,170.8,425416.5686005511,4647196.5887922,16,T,1.1,"$GPGGA,184105.000,4158.3942,N,08754.0116,W,1,07,1.1,170.8,M,-34.1,M,,0000*69",
10,1711219266.0,GPS1_Frame,41.97323,-87.90019166666667,171.4,425416.6989113218,4647195.8471423965,16,T,1.1,"$GPGGA,184106.000,4158.3938,N,08754.0115,W,1,07,1.1,171.4,M,-34.1,M,,0000*69",
11,1711219267.0,GPS1_Frame,41.97322333333334,-87.90019166666667,172.0,425416.69113306917,4647195.106943682,16,T,1.1,"$GPGGA,184107.000,4158.3934,N,08754.0115,W,1,07,1.1,172.0,M,-34.1,M,,0000*63",
12,1711219268.0,GPS1_Frame,41.973216666666666,-87.90019,172.6,425416.8214438851,4647194.365293885,16,T,1.1,"$GPGGA,184108.000,4158.3930,N,08754.0114,W,1,07,1.1,172.6,M,-34.1,M,,0000*6F",
13,1711219269.0,GPS1_Frame,41.973211666666664,-87.90018833333333,173.1,425416.953699282,4647193.808693767,16,T,1.1,"$GPGGA,184109.000,4158.3927,N,08754.0113,W,1,07,1.1,173.1,M,-34.1,M,,0000*69",
14,1711219270.0,GPS1_Frame,41.973205,-87.90018666666667,173.7,425417.0840101537,4647193.067043976,16,T,1.1,"$GPGGA,184110.000,4158.3923,N,08754.0112,W,1,07,1.1,173.7,M,-34.1,M,,0000*62",
15,1711219271.0,GPS1_Frame,41.97320166666667,-87.90018666666667,174.0,425417.0801210508,4647192.696944621,16,T,1.1,"$GPGGA,184111.000,4158.3921,N,08754.0112,W,1,07,1.1,174.0,M,-34.1,M,,0000*61",
16,1711219272.0,GPS1_Frame,41.973198333333336,-87.90018666666667,174.3,425417.07623194816,4647192.326845267,16,T,1.1,"$GPGGA,184112.000,4158.3919,N,08754.0112,W,1,07,1.1,174.3,M,-34.1,M,,0000*6A",
17,1711219273.0,GPS1_Frame,41.973195,-87.900185,174.7,425417.21043196006,4647191.955294834,16,T,1.1,"$GPGGA,184113.000,4158.3917,N,08754.0111,W,1,07,1.1,174.7,M,-34.1,M,,0000*62",
18,1711219274.0,GPS1_Frame,41.97318666666666,-87.900185,175.3,425417.2007092231,4647191.030046446,16,T,1.1,"$GPGGA,184114.000,4158.3912,N,08754.0111,W,1,07,1.1,175.3,M,-34.1,M,,0000*65",
19,1711219275.0,GPS1_Frame,41.973185,-87.90018333333333,175.6,425417.3368538098,4647190.843545697,16,T,1.1,"$GPGGA,184115.000,4158.3911,N,08754.0110,W,1,07,1.1,175.6,M,-34.1,M,,0000*63",
20,1711219276.0,GPS1_Frame,41.97318166666667,-87.90018333333333,175.9,425417.33296472277,4647190.473446342,16,T,1.1,"$GPGGA,184116.000,4158.3909,N,08754.0110,W,1,07,1.1,175.9,M,-34.1,M,,0000*66",
21,1711219277.0,GPS1_Frame,41.97317833333334,-87.90018166666667,176.2,425417.4671647842,4647190.101895918,16,T,1.1,"$GPGGA,184117.000,4158.3907,N,08754.0109,W,1,07,1.1,176.2,M,-34.1,M,,0000*69",
22,1711219278.0,GPS1_Frame,41.973175,-87.90018166666667,176.5,425417.46327570494,4647189.731796564,16,T,1.1,"$GPGGA,184118.000,4158.3905,N,08754.0109,W,1,07,1.1,176.5,M,-34.1,M,,0000*63",
23,1711219279.0,GPS1_Frame,41.973171666666666,-87.90018166666667,176.8,425417.4593866259,4647189.361697209,16,T,1.1,"$GPGGA,184119.000,4158.3903,N,08754.0109,W,1,07,1.1,176.8,M,-34.1,M,,0000*69",
24,1711219280.0,GPS1_Frame,41.973168333333334,-87.90018,177.1,425417.593586719,4647188.990146788,16,T,1.1,"$GPGGA,184120.000,4158.3901,N,08754.0108,W,1,07,1.1,177.1,M,-34.1,M,,0000*68",
25,1711219281.0,GPS1_Frame,41.973165,-87.90018,177.4,425417.5896976477,4647188.620047435,16,T,1.1,"$GPGGA,184121.000,4158.3899,N,08754.0108,W,1,07,1.1,177.4,M,-34.1,M,,0000*6C",
26,1711219282.0,GPS1_Frame,41.97316166666667,-87.90018,177.7,425417.5858085766,4647188.249948082,16,T,1.1,"$GPGGA,184122.000,4158.3897,N,08754.0108,W,1,07,1.1,177.7,M,-34.1,M,,0000*62",
27,1711219283.0,GPS1_Frame,41.97315833333333,-87.90017833333333,178.0,425417.72000869724,4647187.878397663,16,T,1.1,"$GPGGA,184123.000,4158.3895,N,08754.0107,W,1,07,1.1,178.0,M,-34.1,M,,0000*66",
28,1711219284.0,GPS1_Frame,41.973155,-87.90017833333333,178.3,425417.7161196339,4647187.50829831,16,T,1.1,"$GPGGA,184124.000,4158.3893,N,08754.0107,W,1,07,1.1,178.3,M,-34.1,M,,0000*64",
