seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
1,1706651363.0,GPS1_Frame,42.33986,-71.09088166666666,47.5,327759.00815173076,4689628.851683926,19,T,1.3,"$GPGGA,214923.000,4220.3916,N,07105.4529,W,1,08,1.3,47.5,M,-33.8,M,,0000*58"
2,1706651364.0,GPS1_Frame,42.339855,-71.09087666666667,47.3,327759.4064024699,4689628.286343118,19,T,1.3,"$GPGGA,214924.000,4220.3913,N,07105.4526,W,1,08,1.3,47.3,M,-33.8,M,,0000*53"
3,1706651365.0,GPS1_Frame,42.339855,-71.09087666666667,47.3,327759.4064024699,4689628.286343118,19,T,1.3,"$GPGGA,214925.000,4220.3913,N,07105.4526,W,1,08,1.3,47.3,M,-33.8,M,,0000*52"
4,1706651366.0,GPS1_Frame,42.33985166666667,-71.090875,47.1,327759.5346018873,4689627.912825461,19,T,1.3,"$GPGGA,214926.000,4220.3911,N,07105.4525,W,1,08,1.3,47.1,M,-33.8,M,,0000*52"
5,1706651367.0,GPS1_Frame,42.33985,-71.090875,47.1,327759.5300510422,4689627.727754733,19,T,1.3,"$GPGGA,214927.000,4220.3910,N,07105.4525,W,1,08,1.3,47.1,M,-33.8,M,,0000*52"
6,1706651368.0,GPS1_Frame,42.33985333333333,-71.090875,47.0,327759.53915273247,4689628.097896187,19,T,1.6,"$GPGGA,214928.000,4220.3912,N,07105.4525,W,1,07,1.6,47.0,M,-33.8,M,,0000*54"
7,1706651369.0,GPS1_Frame,42.33985666666667,-71.09087666666667,46.9,327759.4109533191,4689628.471413846,19,T,1.6,"$GPGGA,214929.000,4220.3914,N,07105.4526,W,1,07,1.6,46.9,M,-33.8,M,,0000*58"
8,1706651370.0,GPS1_Frame,42.339861666666664,-71.09087833333334,46.7,327759.287304774,4689629.030002233,19,T,1.6,"$GPGGA,214930.000,4220.3917,N,07105.4527,W,1,07,1.6,46.7,M,-33.8,M,,0000*5C"
9,1706651371.0,GPS1_Frame,42.339865,-71.09088,46.5,327759.1591053989,4689629.403519899,19,T,1.6,"$GPGGA,214931.000,4220.3919,N,07105.4528,W,1,07,1.6,46.5,M,-33.8,M,,0000*5E"
10,1706651372.0,GPS1_Frame,42.33987,-71.09088,46.3,327759.1727579712,4689629.958732081,19,T,1.6,"$GPGGA,214932.000,4220.3922,N,07105.4528,W,1,07,1.6,46.3,M,-33.8,M,,0000*53"
11,1706651373.0,GPS1_Frame,42.339875,-71.09088166666666,46.0,327759.04910948046,4689630.5173204765,19,T,1.3,"$GPGGA,214933.000,4220.3925,N,07105.4529,W,1,08,1.3,46.0,M,-33.8,M,,0000*5D"
12,1706651374.0,GPS1_Frame,42.33988166666666,-71.09088166666666,45.8,327759.06731292856,4689631.257603388,19,T,1.3,"$GPGGA,214934.000,4220.3929,N,07105.4529,W,1,08,1.3,45.8,M,-33.8,M,,0000*5D"
13,1706651375.0,GPS1_Frame,42.339888333333334,-71.090885,45.7,327758.81091431034,4689632.0046387315,19,T,1.3,"$GPGGA,214935.000,4220.3933,N,07105.4531,W,1,08,1.3,45.7,M,-33.8,M,,0000*51"
14,1706651376.0,GPS1_Frame,42.339895,-71.09088833333334,45.6,327758.5545157524,4689632.751674088,19,T,1.3,"$GPGGA,214936.000,4220.3937,N,07105.4533,W,1,08,1.3,45.6,M,-33.8,M,,0000*55"
15,1706651377.0,GPS1_Frame,42.33990166666667,-71.09089,45.5,327758.43541826145,4689633.495333227,19,T,1.6,"$GPGGA,214937.000,4220.3941,N,07105.4534,W,1,07,1.6,45.5,M,-33.8,M,,0000*5B"
16,1706651378.0,GPS1_Frame,42.339906666666664,-71.09089333333333,45.5,327758.17446891975,4689634.057297872,19,T,1.3,"$GPGGA,214938.000,4220.3944,N,07105.4536,W,1,08,1.3,45.5,M,-33.8,M,,0000*59"
17,1706651379.0,GPS1_Frame,42.339911666666666,-71.09089833333333,45.5,327757.7762186405,4689634.6226387685,19,T,1.6,"$GPGGA,214939.000,4220.3947,N,07105.4539,W,1,07,1.6,45.5,M,-33.8,M,,0000*5E"
18,1706651380.0,GPS1_Frame,42.33991833333333,-71.09090166666667,45.5,327757.51982030843,4689635.369674171,19,T,1.3,"$GPGGA,214940.000,4220.3951,N,07105.4541,W,1,08,1.3,45.5,M,-33.8,M,,0000*52"
19,1706651381.0,GPS1_Frame,42.339925,-71.090905,45.4,327757.2634220369,4689636.116709587,19,T,1.3,"$GPGGA,214941.000,4220.3955,N,07105.4543,W,1,08,1.3,45.4,M,-33.8,M,,0000*54"
20,1706651382.0,GPS1_Frame,42.339931666666665,-71.09090833333333,45.3,327757.0070238277,4689636.863745011,19,T,1.3,"$GPGGA,214942.000,4220.3959,N,07105.4545,W,1,08,1.3,45.3,M,-33.8,M,,0000*5A"
21,1706651383.0,GPS1_Frame,42.339938333333336,-71.09091333333333,45.3,327756.61332475225,4689637.614156715,19,T,1.6,"$GPGGA,214943.000,4220.3963,N,07105.4548,W,1,07,1.6,45.3,M,-33.8,M,,0000*55"
22,1706651384.0,GPS1_Frame,42.339945,-71.09091666666667,45.3,327756.3569266742,4689638.361192169,19,T,1.6,"$GPGGA,214944.000,4220.3967,N,07105.4550,W,1,07,1.6,45.3,M,-33.8,M,,0000*5F"
23,1706651385.0,GPS1_Frame,42.339951666666664,-71.09092,45.2,327756.1005286607,4689639.1082276385,19,T,1.6,"$GPGGA,214945.000,4220.3971,N,07105.4552,W,1,07,1.6,45.2,M,-33.8,M,,0000*5A"
24,1706651386.0,GPS1_Frame,42.339956666666666,-71.09092333333334,45.0,327755.8395797437,4689639.670192386,19,T,1.6,"$GPGGA,214946.000,4220.3974,N,07105.4554,W,1,07,1.6,45.0,M,-33.8,M,,0000*58"
