seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
1,1706648840.0,GPS1_Frame,42.33856,-71.086265,30.2,328135.7903536981,4689475.154796908,19,T,1.3,"$GPGGA,210720.000,4220.3136,N,07105.1759,W,1,08,1.3,30.2,M,-33.8,M,,0000*5C"
2,1706648841.0,GPS1_Frame,42.33856,-71.086265,30.2,328135.7903536981,4689475.154796908,19,T,1.3,"$GPGGA,210721.000,4220.3136,N,07105.1759,W,1,08,1.3,30.2,M,-33.8,M,,0000*5D"
3,1706648842.0,GPS1_Frame,42.33856,-71.086265,30.2,328135.7903536981,4689475.154796908,19,T,1.3,"$GPGGA,210722.000,4220.3136,N,07105.1759,W,1,08,1.3,30.2,M,-33.8,M,,0000*5E"
4,1706648843.0,GPS1_Frame,42.33856,-71.086265,30.2,328135.7903536981,4689475.154796908,19,T,1.3,"$GPGGA,210723.000,4220.3136,N,07105.1759,W,1,08,1.3,30.2,M,-33.8,M,,0000*5F"
5,1706648844.0,GPS1_Frame,42.33856,-71.086265,30.2,328135.7903536981,4689475.154796908,19,T,1.3,"$GPGGA,210724.000,4220.3136,N,07105.1759,W,1,08,1.3,30.2,M,-33.8,M,,0000*58"
6,1706648845.0,GPS1_Frame,42.33856,-71.086265,30.3,328135.7903536981,4689475.154796908,19,T,1.3,"$GPGGA,210725.000,4220.3136,N,07105.1759,W,1,08,1.3,30.3,M,-33.8,M,,0000*58"
7,1706648846.0,GPS1_Frame,42.33856,-71.086265,30.3,328135.7903536981,4689475.154796908,19,T,1.3,"$GPGGA,210726.000,4220.3136,N,07105.1759,W,1,08,1.3,30.3,M,-33.8,M,,0000*5B"
8,1706648847.0,GPS1_Frame,42.33855833333333,-71.086265,30.3,328135.7858130102,4689474.969726267,19,T,1.3,"$GPGGA,210727.000,4220.3135,N,07105.1759,W,1,08,1.3,30.3,M,-33.8,M,,0000*59"
9,1706648848.0,GPS1_Frame,42.33855833333333,-71.086265,30.3,328135.7858130102,4689474.969726267,19,T,1.3,"$GPGGA,210728.000,4220.3135,N,07105.1759,W,1,08,1.3,30.3,M,-33.8,M,,0000*56"
10,1706648849.0,GPS1_Frame,42.33855833333333,-71.086265,30.3,328135.7858130102,4689474.969726267,19,T,1.3,"$GPGGA,210729.000,4220.3135,N,07105.1759,W,1,08,1.3,30.3,M,-33.8,M,,0000*57"
11,1706648850.0,GPS1_Frame,42.33855833333333,-71.086265,30.3,328135.7858130102,4689474.969726267,19,T,1.3,"$GPGGA,210730.000,4220.3135,N,07105.1759,W,1,08,1.3,30.3,M,-33.8,M,,0000*5F"
12,1706648851.0,GPS1_Frame,42.33855833333333,-71.08626333333333,30.3,328135.9231169011,4689474.966357534,19,T,1.3,"$GPGGA,210731.000,4220.3135,N,07105.1758,W,1,08,1.3,30.3,M,-33.8,M,,0000*5F"
13,1706648852.0,GPS1_Frame,42.33855833333333,-71.08626333333333,30.3,328135.9231169011,4689474.966357534,19,T,1.3,"$GPGGA,210732.000,4220.3135,N,07105.1758,W,1,08,1.3,30.3,M,-33.8,M,,0000*5C"
14,1706648853.0,GPS1_Frame,42.33855833333333,-71.08626333333333,30.3,328135.9231169011,4689474.966357534,19,T,1.3,"$GPGGA,210733.000,4220.3135,N,07105.1758,W,1,08,1.3,30.3,M,-33.8,M,,0000*5D"
15,1706648854.0,GPS1_Frame,42.33855833333333,-71.08626333333333,30.3,328135.9231169011,4689474.966357534,19,T,1.3,"$GPGGA,210734.000,4220.3135,N,07105.1758,W,1,08,1.3,30.3,M,-33.8,M,,0000*5A"
16,1706648855.0,GPS1_Frame,42.33855833333333,-71.08626333333333,30.3,328135.9231169011,4689474.966357534,19,T,1.3,"$GPGGA,210735.000,4220.3135,N,07105.1758,W,1,08,1.3,30.3,M,-33.8,M,,0000*5B"
17,1706648856.0,GPS1_Frame,42.33855833333333,-71.08626333333333,30.3,328135.9231169011,4689474.966357534,19,T,1.3,"$GPGGA,210736.000,4220.3135,N,07105.1758,W,1,08,1.3,30.3,M,-33.8,M,,0000*58"
18,1706648857.0,GPS1_Frame,42.33855833333333,-71.08626333333333,30.3,328135.9231169011,4689474.966357534,19,T,1.3,"$GPGGA,210737.000,4220.3135,N,07105.1758,W,1,08,1.3,30.3,M,-33.8,M,,0000*59"
19,1706648858.0,GPS1_Frame,42.33855833333333,-71.08626333333333,30.3,328135.9231169011,4689474.966357534,19,T,1.3,"$GPGGA,210738.000,4220.3135,N,07105.1758,W,1,08,1.3,30.3,M,-33.8,M,,0000*56"
20,1706648859.0,GPS1_Frame,42.33855833333333,-71.08626333333333,30.3,328135.9231169011,4689474.966357534,19,T,1.3,"$GPGGA,210739.000,4220.3135,N,07105.1758,W,1,08,1.3,30.3,M,-33.8,M,,0000*57"
21,1706648860.0,GPS1_Frame,42.33855833333333,-71.08626333333333,30.4,328135.9231169011,4689474.966357534,19,T,1.3,"$GPGGA,210740.000,4220.3135,N,07105.1758,W,1,08,1.3,30.4,M,-33.8,M,,0000*5E"
22,1706648861.0,GPS1_Frame,42.33855833333333,-71.08626333333333,30.4,328135.9231169011,4689474.966357534,19,T,1.3,"$GPGGA,210741.000,4220.3135,N,07105.1758,W,1,08,1.3,30.4,M,-33.8,M,,0000*5F"
