seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gngga_read,fix_quality
295,1707843016.0,GPS1_Frame,42.338246346666665,-71.08650557,24.733,328115.11701823375,4689440.812261532,19,T,0.8,"$GNGGA,165016.00,4220.2947808,N,07105.1903342,W,5,20,0.8,24.733,M,-28.725,M,2.0,0061*57",5
296,1707843017.0,GPS1_Frame,42.33824636333333,-71.08650570666667,24.821,328115.1058046694,4689440.814388506,19,T,0.8,"$GNGGA,165017.00,4220.2947818,N,07105.1903424,W,5,20,0.8,24.821,M,-28.725,M,1.0,0061*5F",5
297,1707843018.0,GPS1_Frame,42.338246391666665,-71.08650581,24.876,328115.0973689848,4689440.817743593,19,T,0.8,"$GNGGA,165018.00,4220.2947835,N,07105.1903486,W,5,20,0.8,24.876,M,-28.725,M,1.0,0061*55",5
298,1707843019.0,GPS1_Frame,42.33824645166667,-71.08650596333334,24.96,328115.0849004476,4689440.824716095,19,T,0.8,"$GNGGA,165019.00,4220.2947871,N,07105.1903578,W,5,19,0.8,24.960,M,-28.725,M,1.0,0061*58",5
299,1707843020.0,GPS1_Frame,42.33824640666667,-71.08650607833333,24.908,328115.07530381967,4689440.819951656,19,T,0.8,"$GNGGA,165020.00,4220.2947844,N,07105.1903647,W,5,19,0.8,24.908,M,-28.725,M,1.0,0061*55",5
300,1707843021.0,GPS1_Frame,42.33824635,-71.08650618333333,24.8,328115.06649923255,4689440.813871509,19,T,0.8,"$GNGGA,165021.00,4220.2947810,N,07105.1903710,W,5,19,0.8,24.800,M,-28.725,M,2.0,0061*5C",5
301,1707843022.0,GPS1_Frame,42.33824633166667,-71.08650625833333,24.661,328115.0602705717,4689440.811987343,19,T,0.8,"$GNGGA,165022.00,4220.2947799,N,07105.1903755,W,5,20,0.8,24.661,M,-28.725,M,1.0,0061*50",5
302,1707843023.0,GPS1_Frame,42.338246201666664,-71.08650630666666,24.513,328115.0559345281,4689440.797649538,19,T,0.8,"$GNGGA,165023.00,4220.2947721,N,07105.1903784,W,5,20,0.8,24.513,M,-28.725,M,1.0,0061*58",5
303,1707843024.0,GPS1_Frame,42.338245891666666,-71.08650639166666,24.176,328115.04808733263,4689440.763398226,19,T,0.8,"$GNGGA,165024.00,4220.2947535,N,07105.1903835,W,5,20,0.8,24.176,M,-28.725,M,2.0,0061*59",5
304,1707843025.0,GPS1_Frame,42.338245801666666,-71.08650648333334,24.053,328115.040290357,4689440.753589714,19,T,0.8,"$GNGGA,165025.00,4220.2947481,N,07105.1903890,W,5,20,0.8,24.053,M,-28.725,M,1.0,0061*5C",5
