seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gngga_read,fix_quality
50,1707843729.0,GPS1_Frame,42.33811456,-71.08660974833333,31.043,328106.1754230639,4689426.3889553705,19,T,1.3,"$GNGGA,170209.00,4220.2868736,N,07105.1965849,W,5,10,1.3,31.043,M,-28.726,M,2.0,0061*5F",5
51,1707843730.0,GPS1_Frame,42.338112796666664,-71.08660249,29.536,328106.7685809598,4689426.178477418,19,T,1.0,"$GNGGA,170210.00,4220.2867678,N,07105.1961494,W,5,15,1.0,29.536,M,-28.726,M,1.0,0061*50",5
52,1707843731.0,GPS1_Frame,42.33811439,-71.08659823833334,28.618,328107.12318723113,4689426.346809926,19,T,1.2,"$GNGGA,170211.00,4220.2868634,N,07105.1958943,W,5,14,1.2,28.618,M,-28.726,M,2.0,0061*55",5
53,1707843732.0,GPS1_Frame,42.33811891333333,-71.086592055,28.418,328107.6449135308,4689426.836591646,19,T,1.0,"$GNGGA,170212.00,4220.2871348,N,07105.1955233,W,5,14,1.0,28.418,M,-28.726,M,1.0,0061*52",5
54,1707843733.0,GPS1_Frame,42.338125803333334,-71.086586515,28.267,328108.1200888073,4689427.59047423,19,T,1.0,"$GNGGA,170213.00,4220.2875482,N,07105.1951909,W,5,15,1.0,28.267,M,-28.726,M,1.0,0061*5F",5
55,1707843734.0,GPS1_Frame,42.33813378833333,-71.08657675333333,27.92,328108.9460407584,4689428.457413968,19,T,1.0,"$GNGGA,170214.00,4220.2880273,N,07105.1946052,W,5,15,1.0,27.920,M,-28.726,M,1.0,0061*5C",5
56,1707843735.0,GPS1_Frame,42.338137795,-71.08657154,27.539,328109.38644756953,4689428.891784813,19,T,1.2,"$GNGGA,170215.00,4220.2882677,N,07105.1942924,W,5,16,1.2,27.539,M,-28.726,M,2.0,0061*55",5
57,1707843736.0,GPS1_Frame,42.33814477,-71.08656489666667,27.839,328109.95274991053,4689429.652875688,19,T,1.1,"$GNGGA,170216.00,4220.2886862,N,07105.1938938,W,5,14,1.1,27.839,M,-28.725,M,1.0,0061*54",5
58,1707843737.0,GPS1_Frame,42.338147903333336,-71.08655736333333,27.323,328110.5819052184,4689429.985579645,19,T,1.6,"$GNGGA,170217.00,4220.2888742,N,07105.1934418,W,5,14,1.6,27.323,M,-28.725,M,2.0,0061*51",5
59,1707843738.0,GPS1_Frame,42.33815380666667,-71.08654989166666,26.909,328111.2135277823,4689430.625995708,19,T,1.0,"$GNGGA,170218.00,4220.2892284,N,07105.1929935,W,5,16,1.0,26.909,M,-28.725,M,1.0,0061*50",5
60,1707843739.0,GPS1_Frame,42.33815846666667,-71.08654334333333,26.512,328111.7656956126,4689431.13021566,19,T,1.1,"$GNGGA,170219.00,4220.2895080,N,07105.1926006,W,5,16,1.1,26.512,M,-28.725,M,2.0,0061*52",5
61,1707843740.0,GPS1_Frame,42.338164715,-71.08653753333333,26.658,328112.26136516745,4689431.812300508,19,T,1.0,"$GNGGA,170220.00,4220.2898829,N,07105.1922520,W,5,15,1.0,26.658,M,-28.725,M,1.0,0061*57",5
