seq,stamp,elapsed_time,yaw,pitch,roll,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x_corr,mag_y_corr,mag_z_corr
211,1710359569.4113,0,3.337,1.452,7.39,-0.0413,0.1769,0.2344,0.555,-1.688,-10.273,0.005881,0.095079,0.153532,0.0422365324454553,0.20640801287533,0.341222558529376
212,1710359569.4362,0.0249021053314209,3.533,1.598,7.441,-0.0441,0.176,0.232,0.623,-1.217,-9.454,0.017812,0.075342,0.106316,0.0394365324454553,0.20550801287533,0.338822558529376
213,1710359569.46117,0.0498685836791992,3.75,1.688,7.476,-0.0414,0.173,0.2322,0.565,-1.243,-9.63,0.040592,0.101884,0.159426,0.0421365324454553,0.20250801287533,0.339022558529376
214,1710359569.48796,0.0766632556915283,3.99,1.765,7.655,-0.0413,0.1799,0.2343,0.809,-0.531,-9.396,0.13901,0.062565,0.190633,0.0422365324454553,0.20940801287533,0.341122558529376
215,1710359569.51112,0.0998237133026123,4.434,1.748,7.839,-0.0404,0.1808,0.2399,0.728,-0.945,-9.399,0.16052,0.011433,0.366729,0.0431365324454553,0.21030801287533,0.346722558529376
216,1710359569.53771,0.12640905380249,4.969,1.713,8.199,-0.0348,0.1837,0.2391,0.431,-1.765,-9.619,0.293882,0.05455,0.357604,0.0487365324454553,0.21320801287533,0.345922558529376
217,1710359569.56132,0.1500244140625,5.502,1.693,8.545,-0.0328,0.1866,0.2326,0.146,-2.392,-9.788,0.193116,0.033063,0.377112,0.0507365324454553,0.21610801287533,0.339422558529376
218,1710359569.58874,0.177442312240601,5.897,1.753,8.854,-0.0319,0.1866,0.2392,-0.174,-3.116,-9.546,0.208573,0.108242,0.175523,0.0516365324454553,0.21610801287533,0.346022558529376
219,1710359569.61135,0.200046539306641,5.965,1.739,9.16,-0.0318,0.1955,0.238,-0.133,-3.026,-9.307,0.206219,-0.082685,-0.018325,0.0517365324454553,0.22500801287533,0.344822558529376
220,1710359569.63945,0.228146553039551,5.803,1.602,9.481,-0.0308,0.2004,0.2336,0.1,-2.792,-9.601,0.199808,-0.104768,-0.136545,0.0527365324454553,0.22990801287533,0.340422558529376
221,1710359569.6612,0.249901056289673,5.531,1.432,9.645,-0.029,0.1984,0.2371,0.106,-2.694,-9.267,0.101555,-0.183217,-0.18719,0.0545365324454553,0.22790801287533,0.343922558529376
222,1710359569.68597,0.274676084518433,5.118,1.175,9.757,-0.0261,0.2053,0.2383,0.208,-3.166,-8.95,0.036393,-0.264815,-0.319989,0.0574365324454553,0.23480801287533,0.345122558529376
223,1710359569.71134,0.300036907196045,4.466,0.786,9.758,-0.0298,0.2063,0.2314,0.181,-2.93,-9.515,0.040159,-0.37985,-0.453872,0.0537365324454553,0.23580801287533,0.338222558529376
224,1710359569.73596,0.324658393859863,3.655,0.313,9.812,-0.0279,0.2053,0.2371,0.328,-2.941,-10.272,0.038198,-0.421877,-0.543648,0.0556365324454553,0.23480801287533,0.343922558529376
225,1710359569.7609,0.349603891372681,2.73,-0.036,9.894,-0.0306,0.2113,0.2379,0.298,-2.589,-10.481,0.072347,-0.301419,-0.620849,0.0529365324454553,0.24080801287533,0.344722558529376
226,1710359569.78591,0.374614000320435,1.763,-0.269,9.989,-0.0315,0.2133,0.2334,0.185,-2.511,-10.492,0.058174,-0.260035,-0.648678,0.0520365324454553,0.24280801287533,0.340222558529376
227,1710359569.81092,0.399617910385132,0.756,-0.387,10.106,-0.0325,0.2074,0.2356,-0.175,-2.197,-10.599,0.083504,-0.176016,-0.689573,0.0510365324454553,0.23690801287533,0.342422558529376
228,1710359569.83598,0.424685955047607,-0.31,-0.419,10.123,-0.0352,0.2144,0.2321,-0.328,-2.019,-11.376,-0.031191,-0.10795,-0.752444,0.0483365324454553,0.24390801287533,0.338922558529376
229,1710359569.86091,0.44961142539978,-1.352,-0.233,10.103,-0.0389,0.2115,0.2341,-0.466,-1.732,-10.885,-0.00605,0.05111,-0.733042,0.0446365324454553,0.24100801287533,0.340922558529376
230,1710359569.8859,0.474604368209839,-2.405,0.032,10.14,-0.0471,0.2236,0.2334,-0.48,-1.437,-10.564,0.061853,0.069336,-0.765575,0.0364365324454553,0.25310801287533,0.340222558529376
231,1710359569.91125,0.499949932098389,-3.481,0.347,10.279,-0.0519,0.2148,0.2321,-0.428,-1.114,-9.726,0.116602,0.073046,-0.784834,0.0316365324454553,0.24430801287533,0.338922558529376
232,1710359569.93587,0.524569749832153,-4.522,0.586,10.419,-0.0555,0.2169,0.233,-0.341,-1.047,-9.493,0.118151,0.025487,-0.716759,0.0280365324454553,0.24640801287533,0.339822558529376
233,1710359569.96112,0.549824714660645,-5.55,0.77,10.589,-0.0619,0.224,0.2292,-0.112,-1.096,-8.926,0.07798,-0.040505,-0.728043,0.0216365324454553,0.25350801287533,0.336022558529376
234,1710359569.98585,0.574552059173584,-6.588,0.812,10.651,-0.0647,0.2211,0.2312,-0.118,-0.618,-9.946,0.069704,-0.116698,-0.696609,0.0188365324454553,0.25060801287533,0.338022558529376
235,1710359570.01124,0.599946260452271,-7.476,0.826,10.655,-0.0666,0.2191,0.2322,0.036,-0.83,-10.569,-0.054545,-0.089918,-0.560022,0.0169365324454553,0.24860801287533,0.339022558529376
236,1710359570.03582,0.624524116516113,-8.243,0.939,10.59,-0.0703,0.2222,0.2331,0.051,-1.133,-10.379,-0.040196,0.006656,-0.534987,0.0132365324454553,0.25170801287533,0.339922558529376
237,1710359570.06077,0.649466514587402,-8.975,1.094,10.499,-0.0759,0.2164,0.2361,0.095,-0.961,-10.327,-0.046464,0.033349,-0.506518,0.00763653244545527,0.24590801287533,0.342922558529376
238,1710359570.0858,0.674500226974487,-9.632,1.219,10.449,-0.0787,0.2174,0.237,0.09,-0.749,-9.981,-0.017247,-0.012418,-0.433797,0.00483653244545526,0.24690801287533,0.343822558529376
239,1710359570.11142,0.700123071670532,-10.158,1.238,10.37,-0.0805,0.2175,0.2369,0.02,-0.874,-9.797,-0.059639,-0.088912,-0.320276,0.00303653244545526,0.24700801287533,0.343722558529376
240,1710359570.13619,0.724888324737549,-10.594,1.11,10.237,-0.0795,0.2254,0.2324,-0.068,-1.187,-9.918,-0.100746,-0.176323,-0.278883,0.00403653244545527,0.25490801287533,0.339222558529376
241,1710359570.1608,0.749498844146729,-11.016,0.96,10.028,-0.0824,0.2175,0.2367,0.043,-1.234,-10.345,-0.166018,-0.110137,-0.272066,0.00113653244545527,0.24700801287533,0.343522558529376
242,1710359570.19475,0.783452033996582,-11.411,0.941,9.758,-0.0815,0.2126,0.2325,0.174,-1.26,-9.633,-0.164284,-0.064463,-0.274407,0.00203653244545526,0.24210801287533,0.339322558529376
243,1710359570.21072,0.799419164657593,-11.8,0.886,9.619,-0.0843,0.2126,0.2378,0.165,-1.164,-9.774,-0.043605,-0.095696,-0.245694,-0.000763467554544733,0.24210801287533,0.344622558529376
244,1710359570.23568,0.824386119842529,-12.14,0.838,9.618,-0.0833,0.2136,0.2323,0.165,-1.44,-10.06,0.019965,-0.039699,-0.219612,0.000236532445455268,0.24310801287533,0.339122558529376
245,1710359570.2607,0.849398136138916,-12.422,0.887,9.598,-0.0841,0.2225,0.2355,0.096,-1.181,-10.148,-0.053268,0.048294,-0.169766,-0.000563467554544728,0.25200801287533,0.342322558529376
246,1710359570.28585,0.874553680419922,-12.632,1.034,9.489,-0.0852,0.2156,0.2366,-0.033,-1.596,-9.288,-0.073258,0.058879,-0.184591,-0.00166346755454473,0.24510801287533,0.343422558529376
247,1710359570.31089,0.899587631225586,-12.872,1.051,9.363,-0.0871,0.2097,0.2409,0.062,-1.518,-9.487,-0.063667,-0.038583,-0.155252,-0.00356346755454473,0.23920801287533,0.347722558529376
248,1710359570.3364,0.925102710723877,-13.118,0.982,9.299,-0.0862,0.2117,0.2377,-0.008,-1.556,-9.558,-0.044822,-0.103066,-0.157572,-0.00266346755454473,0.24120801287533,0.344522558529376
249,1710359570.36053,0.949233770370483,-13.414,0.838,9.236,-0.087,0.2147,0.2398,-0.032,-1.382,-10.104,-0.036448,-0.136046,-0.193248,-0.00346346755454473,0.24420801287533,0.346622558529376
250,1710359570.38665,0.975353479385376,-13.664,0.742,9.133,-0.0862,0.2107,0.241,-0.071,-1.491,-10.257,-0.091447,-0.061667,-0.149929,-0.00266346755454473,0.24020801287533,0.347822558529376
251,1710359570.41045,0.99915075302124,-13.907,0.737,8.983,-0.0889,0.2147,0.2407,0.061,-1.306,-9.995,-0.1392,-0.020889,-0.163941,-0.00536346755454474,0.24420801287533,0.347522558529376
252,1710359570.43653,1.02523422241211,-14.166,0.765,8.812,-0.0908,0.2128,0.2406,0.138,-0.987,-9.835,-0.094552,-0.009222,-0.176791,-0.00726346755454474,0.24230801287533,0.347422558529376
253,1710359570.46159,1.05029344558716,-14.361,0.773,8.671,-0.0908,0.2098,0.2396,0.147,-0.891,-9.732,-0.082438,-0.028927,-0.112471,-0.00726346755454474,0.23930801287533,0.346422558529376
254,1710359570.48633,1.07503533363342,-14.452,0.71,8.576,-0.0927,0.2059,0.2439,0.064,-0.964,-9.677,-0.084665,-0.078594,-0.017948,-0.00916346755454474,0.23540801287533,0.350722558529376
255,1710359570.51144,1.1001443862915,-14.503,0.592,8.489,-0.0918,0.2088,0.2439,-0.095,-1.284,-10.384,-0.046048,-0.057019,-0.0322,-0.00826346755454474,0.23830801287533,0.350722558529376
256,1710359570.53628,1.12498140335083,-14.58,0.545,8.385,-0.0899,0.2078,0.2452,-0.073,-0.968,-10.212,-0.057974,-0.044963,-0.045437,-0.00636346755454473,0.23730801287533,0.352022558529376
257,1710359570.56144,1.15013837814331,-14.625,0.499,8.338,-0.0899,0.2128,0.2396,-0.006,-1.153,-10.16,-0.055333,-0.018657,-0.043209,-0.00636346755454473,0.24230801287533,0.346422558529376
258,1710359570.58625,1.17495059967041,-14.674,0.545,8.277,-0.0899,0.2118,0.2407,0.085,-1.162,-9.628,-0.020647,0.036957,-0.029793,-0.00636346755454473,0.24130801287533,0.347522558529376
259,1710359570.61116,1.19985795021057,-14.727,0.476,8.278,-0.0928,0.2029,0.2406,-0.009,-1.564,-9.703,0.026941,-0.115206,-0.043865,-0.00926346755454473,0.23240801287533,0.347422558529376
260,1710359570.63615,1.22484946250916,-14.839,0.341,8.337,-0.0908,0.2098,0.244,-0.077,-1.722,-10.15,0.02464,-0.089214,-0.086915,-0.00726346755454474,0.23930801287533,0.350822558529376
261,1710359570.66114,1.24983763694763,-15.051,0.299,8.271,-0.0908,0.2108,0.2418,-0.081,-1.739,-9.838,-0.055123,-0.043189,-0.178334,-0.00726346755454474,0.24030801287533,0.348622558529376
262,1710359570.68616,1.27486419677734,-15.384,0.225,8.25,-0.0927,0.2059,0.2439,-0.089,-1.746,-9.437,0.064831,-0.121538,-0.2516,-0.00916346755454474,0.23540801287533,0.350722558529376
263,1710359570.71111,1.29981231689453,-15.792,0.082,8.382,-0.0919,0.2019,0.2407,0.106,-1.501,-9.191,0.065887,-0.150535,-0.24967,-0.00836346755454473,0.23140801287533,0.347522558529376
264,1710359570.73608,1.32478022575378,-16.086,-0.163,8.397,-0.0917,0.2108,0.2439,-0.017,-1.172,-9.738,-0.041063,-0.197395,-0.124382,-0.00816346755454474,0.24030801287533,0.350722558529376
265,1710359570.76107,1.34977173805237,-16.184,-0.387,8.282,-0.0918,0.2088,0.2461,-0.065,-1.529,-10.194,-0.098543,-0.135392,-0.006933,-0.00826346755454474,0.23830801287533,0.352922558529376
266,1710359570.78605,1.3747546672821,-16.241,-0.544,8.177,-0.0882,0.2008,0.2453,-0.12,-1.859,-10.056,-0.05197,-0.118941,-0.053728,-0.00466346755454473,0.23030801287533,0.352122558529376
267,1710359570.81105,1.39975237846375,-16.374,-0.684,8.164,-0.089,0.2088,0.2419,0.015,-1.316,-10.043,0.018223,-0.106992,-0.07552,-0.00546346755454473,0.23830801287533,0.348722558529376
268,1710359570.83602,1.42472410202026,-16.471,-0.805,8.254,-0.0881,0.2087,0.2453,-0.017,-1.354,-10.247,0.098619,-0.096481,-0.051243,-0.00456346755454473,0.23820801287533,0.352122558529376
269,1710359570.86098,1.44968461990356,-16.521,-0.888,8.438,-0.0871,0.2097,0.2398,0.065,-1.387,-10.842,0.137866,-0.017125,-0.003101,-0.00356346755454473,0.23920801287533,0.346622558529376
270,1710359570.88598,1.4746835231781,-16.48,-0.796,8.614,-0.0891,0.2048,0.242,0.008,-1.646,-10.466,0.112903,0.115482,0.028736,-0.00556346755454473,0.23430801287533,0.348822558529376
271,1710359570.91092,1.49962306022644,-16.443,-0.595,8.778,-0.089,0.2108,0.2408,-0.149,-1.735,-9.715,0.117615,0.135789,-0.011467,-0.00546346755454473,0.24030801287533,0.347622558529376
272,1710359570.93596,1.52466058731079,-16.473,-0.434,8.915,-0.0908,0.2118,0.2418,-0.294,-1.72,-9.481,0.093956,0.098389,-0.061686,-0.00726346755454474,0.24130801287533,0.348622558529376
273,1710359570.96091,1.54960823059082,-16.577,-0.351,9.039,-0.0927,0.2099,0.2395,-0.342,-1.598,-9.309,0.093761,0.010635,-0.103505,-0.00916346755454474,0.23940801287533,0.346322558529376
274,1710359570.98592,1.57462644577026,-16.713,-0.389,9.18,-0.0935,0.2138,0.2427,-0.228,-1.027,-9.508,0.082593,-0.069447,-0.061962,-0.00996346755454473,0.24330801287533,0.349522558529376
275,1710359571.01088,1.59958410263062,-16.77,-0.501,9.26,-0.0908,0.2108,0.2352,-0.154,-1.312,-9.857,0.05318,-0.081271,-0.017608,-0.00726346755454474,0.24030801287533,0.342022558529376
276,1710359571.03589,1.62458777427673,-16.807,-0.617,9.319,-0.0908,0.2138,0.2384,-0.165,-1.478,-10.077,0.04413,-0.089614,-0.018337,-0.00726346755454474,0.24330801287533,0.345222558529376
277,1710359571.06091,1.64960718154907,-16.873,-0.711,9.396,-0.088,0.2137,0.2408,-0.135,-1.508,-10.098,0.0609,-0.059101,-0.054025,-0.00446346755454473,0.24320801287533,0.347622558529376
278,1710359571.08588,1.67458438873291,-16.951,-0.769,9.48,-0.0908,0.2088,0.2385,-0.003,-1.548,-10.222,0.058013,-0.02202,-0.038752,-0.00726346755454474,0.23830801287533,0.345322558529376
279,1710359571.11082,1.69952440261841,-17.02,-0.775,9.531,-0.0898,0.2138,0.2363,0.119,-1.381,-9.792,0.010176,-0.034311,-0.031976,-0.00626346755454474,0.24330801287533,0.343122558529376
280,1710359571.13585,1.72455596923828,-17.065,-0.807,9.587,-0.0917,0.2138,0.2395,-0.046,-1.6,-10.017,0.052067,-0.032854,-0.025622,-0.00816346755454474,0.24330801287533,0.346322558529376
281,1710359571.16081,1.7495129108429,-17.081,-0.833,9.618,-0.0908,0.2118,0.2407,-0.281,-1.728,-10.434,0.010479,0.009307,0.00221,-0.00726346755454474,0.24130801287533,0.347522558529376
282,1710359571.18581,1.77451491355896,-17.111,-0.769,9.666,-0.0899,0.2118,0.2363,-0.308,-1.848,-10.388,0.040087,0.066738,-0.050175,-0.00636346755454473,0.24130801287533,0.343122558529376
283,1710359571.21074,1.79944109916687,-17.2,-0.617,9.662,-0.0926,0.2138,0.2372,-0.229,-1.336,-10.041,0.002364,0.119304,-0.084774,-0.00906346755454474,0.24330801287533,0.344022558529376
284,1710359571.23574,1.82444429397583,-17.223,-0.466,9.687,-0.0925,0.2198,0.2361,-0.074,-1.073,-9.39,0.009984,0.08058,0.008411,-0.00896346755454473,0.24930801287533,0.342922558529376
285,1710359571.26072,1.84942150115967,-17.136,-0.438,9.726,-0.0954,0.2139,0.2392,-0.174,-1.219,-9.779,0.057058,0.007541,0.07503,-0.0118634675545447,0.24340801287533,0.346022558529376
286,1710359571.28576,1.87446403503418,-17.001,-0.439,9.759,-0.0889,0.2147,0.2407,-0.13,-1.611,-10.015,0.000232,0.01219,0.07832,-0.00536346755454474,0.24420801287533,0.347522558529376
287,1710359571.3107,1.89939713478088,-16.876,-0.417,9.798,-0.0952,0.2238,0.2315,-0.108,-1.254,-10.03,0.047069,0.031417,0.107325,-0.0116634675545447,0.25330801287533,0.338322558529376
288,1710359571.33574,1.92444467544556,-16.681,-0.394,9.806,-0.0935,0.2148,0.2361,-0.16,-1.748,-10.104,-0.002727,0.051044,0.121662,-0.00996346755454473,0.24430801287533,0.342922558529376
289,1710359571.3607,1.94940423965454,-16.504,-0.3,9.805,-0.0935,0.2188,0.2349,-0.08,-1.669,-10.104,0.002619,0.120823,0.108958,-0.00996346755454473,0.24830801287533,0.341722558529376
290,1710359571.3857,1.97440600395203,-16.328,-0.194,9.798,-0.0935,0.2138,0.2339,0.001,-1.361,-10.072,0.017751,0.092052,0.129348,-0.00996346755454473,0.24330801287533,0.340722558529376
291,1710359571.41068,1.99938535690308,-16.114,-0.077,9.797,-0.0925,0.2178,0.2339,-0.059,-1.667,-9.811,-0.031217,0.09634,0.113551,-0.00896346755454473,0.24730801287533,0.340722558529376
292,1710359571.43571,2.02441430091858,-15.906,0.032,9.768,-0.0944,0.2198,0.2305,-0.002,-1.53,-9.799,-0.003602,0.10175,0.14311,-0.0108634675545447,0.24930801287533,0.337322558529376
293,1710359571.46076,2.04946351051331,-15.664,0.089,9.751,-0.0926,0.2168,0.235,0.036,-1.641,-10.047,0.001376,0.065124,0.164326,-0.00906346755454474,0.24630801287533,0.341822558529376
294,1710359571.48573,2.0744321346283,-15.411,0.162,9.778,-0.0908,0.2108,0.2341,-0.002,-1.959,-10.127,0.009818,0.091782,0.154726,-0.00726346755454474,0.24030801287533,0.340922558529376
295,1710359571.51065,2.09934687614441,-15.203,0.311,9.789,-0.0916,0.2158,0.2351,0.037,-1.77,-9.844,0.012784,0.142103,0.11315,-0.00806346755454473,0.24530801287533,0.341922558529376
296,1710359571.53644,2.12514281272888,-14.969,0.442,9.732,-0.0926,0.2138,0.2317,0.042,-1.758,-9.683,-0.028544,0.104487,0.150357,-0.00906346755454474,0.24330801287533,0.338522558529376
297,1710359571.5606,2.14929842948914,-14.747,0.518,9.736,-0.0917,0.2148,0.2307,-0.005,-1.61,-9.614,0.002712,0.062271,0.14217,-0.00816346755454474,0.24430801287533,0.337522558529376
298,1710359571.5864,2.17510271072388,-14.504,0.572,9.755,-0.0934,0.2218,0.236,0.069,-1.283,-9.642,0.016915,0.063871,0.185882,-0.00986346755454473,0.25130801287533,0.342822558529376
299,1710359571.61057,2.19926834106445,-14.127,0.582,9.749,-0.0907,0.2167,0.2329,0.052,-1.174,-9.832,-0.029362,0.056454,0.306008,-0.00716346755454474,0.24620801287533,0.339722558529376
300,1710359571.63643,2.22513341903687,-13.622,0.572,9.715,-0.088,0.2147,0.2353,-0.034,-1.812,-9.897,-0.001596,0.046127,0.334093,-0.00446346755454473,0.24420801287533,0.342122558529376
301,1710359571.66078,2.24947762489319,-13.189,0.557,9.747,-0.0861,0.2146,0.2376,0.03,-1.699,-9.815,0.046392,0.044339,0.276203,-0.00256346755454473,0.24410801287533,0.344422558529376
302,1710359571.68636,2.27506494522095,-12.803,0.552,9.8,-0.087,0.2147,0.2343,0.036,-1.87,-9.615,0.035357,0.03517,0.249419,-0.00346346755454473,0.24420801287533,0.341122558529376
303,1710359571.71266,2.30136394500732,-12.524,0.535,9.854,-0.0843,0.2097,0.2356,0.022,-1.656,-9.819,0.015168,0.023643,0.172336,-0.000763467554544733,0.23920801287533,0.342422558529376
304,1710359571.73678,2.32547879219055,-12.264,0.518,9.836,-0.0841,0.2255,0.2332,-0.006,-1.656,-9.826,-0.033228,0.015923,0.184256,-0.000563467554544728,0.25500801287533,0.340022558529376
305,1710359571.76124,2.34994459152222,-12.028,0.483,9.797,-0.0815,0.2126,0.2369,0.016,-1.506,-9.875,-0.02231,0.002618,0.17026,0.00203653244545526,0.24210801287533,0.343722558529376
306,1710359571.78631,2.37501120567322,-11.814,0.427,9.797,-0.0795,0.2244,0.2335,-0.01,-1.785,-9.85,0.011269,-0.028072,0.128159,0.00403653244545527,0.25390801287533,0.340322558529376
307,1710359571.81121,2.39991044998169,-11.647,0.354,9.825,-0.0814,0.2185,0.2324,0.051,-1.626,-10.188,0.020841,-0.020433,0.12001,0.00213653244545527,0.24800801287533,0.339222558529376
308,1710359571.83618,2.42488598823547,-11.481,0.344,9.864,-0.0805,0.2165,0.2347,0.2,-1.523,-10.286,0.029249,0.045817,0.120948,0.00303653244545526,0.24600801287533,0.341522558529376
309,1710359571.86116,2.44986295700073,-11.291,0.405,9.891,-0.0823,0.2225,0.2345,0.116,-1.644,-9.881,0.017897,0.068367,0.120178,0.00123653244545527,0.25200801287533,0.341322558529376
310,1710359571.88616,2.47486543655396,-11.123,0.439,9.891,-0.0796,0.2175,0.2336,0.019,-1.735,-9.59,0.006901,0.027534,0.102128,0.00393653244545526,0.24700801287533,0.340422558529376
311,1710359571.91121,2.49991202354431,-10.961,0.428,9.888,-0.0804,0.2224,0.2324,0.005,-1.513,-9.562,-0.025109,-0.005062,0.132888,0.00313653244545527,0.25190801287533,0.339222558529376
312,1710359571.93615,2.52485179901123,-10.784,0.378,9.881,-0.0786,0.2194,0.2326,-0.072,-1.828,-9.762,0.011114,-0.014321,0.10823,0.00493653244545526,0.24890801287533,0.339422558529376
313,1710359571.96138,2.55007934570312,-10.636,0.327,9.876,-0.0787,0.2145,0.2293,-0.021,-1.767,-10.217,-0.007784,0.007878,0.108277,0.00483653244545526,0.24400801287533,0.336122558529376
314,1710359571.98609,2.57479333877563,-10.487,0.362,9.861,-0.0768,0.2194,0.236,0.082,-1.618,-9.815,-0.037376,0.049518,0.101754,0.00673653244545527,0.24890801287533,0.342822558529376
