seq,stamp,elapsed_time,yaw,pitch,roll,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
88,1710361885.126824,0,134.801,86.553,106.642,0.177,-0.0681,0.2589,0.957,0.639,-10.125,0.044654,-0.069487,-0.184477
89,1710361885.151787,0.0249631404876709,136.019,86.811,107.923,0.1742,-0.0661,0.2686,1.227,0.185,-9.728,0.035219,0.022594,-0.197138
90,1710361885.176846,0.050022125244140625,139.219,87.127,111.142,0.1752,-0.0651,0.2697,1.085,0.178,-8.867,0.008581,0.039242,-0.277506
91,1710361885.2017696,0.07494568824768066,142.712,87.539,114.618,0.1779,-0.0692,0.2699,0.619,0.808,-8.769,-0.021123,-0.034197,-0.30296
92,1710361885.226799,0.0999751091003418,145.335,87.92,117.222,0.177,-0.0652,0.2687,0.457,0.545,-9.148,-0.00055,-0.054094,-0.251663
93,1710361885.2517562,0.12493228912353516,148.703,88.252,120.626,0.1761,-0.0632,0.2676,0.329,0.539,-9.331,0.042014,-0.040117,-0.231684
94,1710361885.2775798,0.1507558822631836,151.32,88.561,123.309,0.1779,-0.0662,0.2688,0.388,0.555,-9.393,0.046064,-0.091033,-0.194801
95,1710361885.3019745,0.17515063285827637,151.204,88.857,123.257,0.177,-0.0632,0.2698,0.545,0.689,-9.568,0.042152,-0.115275,-0.150824
96,1710361885.3286922,0.20186829566955566,146.166,89.11,118.27,0.1771,-0.0602,0.2654,0.825,0.826,-9.656,0.027185,-0.153312,-0.095461
97,1710361885.3516529,0.22482895851135254,132.124,89.321,104.221,0.179,-0.0583,0.2677,1.279,0.682,-10.072,-0.013299,-0.164001,-0.082884
98,1710361885.377941,0.2511169910430908,117.97,89.458,90.056,0.1807,-0.0643,0.2679,1.319,0.706,-10.135,0.004756,-0.10517,-0.077398
99,1710361885.4017608,0.2749369144439697,103.165,89.558,75.255,0.1799,-0.0553,0.2644,1.122,0.636,-10.433,0.001217,-0.060294,-0.087042
100,1710361885.4275737,0.3007497787475586,79.434,89.679,51.511,0.1807,-0.0633,0.2646,0.738,0.746,-10.652,-0.025946,-0.061501,-0.140631
