seq,stamp,elapsed_time,yaw,pitch,roll,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
5305,1711208873.6416805,0,149.698,-10.169,-12.844,-0.4913,-0.2843,-0.0376,-1.776,2.163,-9.57,-0.000852,0.000774,0.00063
5306,1711208873.6668406,0.02516007423400879,149.699,-10.168,-12.843,-0.4922,-0.2823,-0.0432,-1.767,2.195,-9.54,0.000617,0.000255,0.00073
5307,1711208873.6918814,0.0502009391784668,149.699,-10.169,-12.842,-0.4922,-0.2783,-0.041,-1.743,2.184,-9.535,-0.001888,0.00092,0.000881
5308,1711208873.7166467,0.0749661922454834,149.701,-10.17,-12.842,-0.4931,-0.2803,-0.0389,-1.766,2.197,-9.573,-0.001055,0.000677,0.001376
5309,1711208873.7427459,0.10106539726257324,149.701,-10.17,-12.84,-0.4932,-0.2862,-0.0432,-1.76,2.171,-9.559,0.000239,-0.000943,0.000667
5310,1711208873.7663636,0.12468314170837402,149.703,-10.17,-12.839,-0.4923,-0.2843,-0.0388,-1.771,2.175,-9.603,0.002105,-0.000561,-0.000907
5311,1711208873.791331,0.14965057373046875,149.702,-10.169,-12.841,-0.4922,-0.2823,-0.0421,-1.758,2.18,-9.532,-0.000552,-0.000791,-0.000913
5312,1711208873.8163464,0.1746659278869629,149.702,-10.168,-12.843,-0.4922,-0.2843,-0.0454,-1.75,2.184,-9.549,-0.001065,-5.5e-05,-1.2e-05
5313,1711208873.8429136,0.2012331485748291,149.702,-10.168,-12.843,-0.4941,-0.2832,-0.0411,-1.766,2.187,-9.539,-0.001292,0.000375,-7.3e-05
5314,1711208873.8662624,0.22458195686340332,149.703,-10.168,-12.844,-0.4903,-0.2794,-0.042,-1.78,2.156,-9.528,-0.001614,0.001569,-0.000385
5315,1711208873.8923714,0.25069093704223633,149.701,-10.169,-12.844,-0.4923,-0.2853,-0.041,-1.763,2.211,-9.555,-0.001107,0.000739,-0.000547
5316,1711208873.9184313,0.2767508029937744,149.698,-10.169,-12.847,-0.4914,-0.2863,-0.0387,-1.767,2.199,-9.553,-0.001779,7.1e-05,0.001765
5317,1711208873.943443,0.30176258087158203,149.699,-10.169,-12.847,-0.4923,-0.2863,-0.0453,-1.731,2.201,-9.547,-0.000155,0.001117,-0.000741
5318,1711208873.9663365,0.32465600967407227,149.699,-10.168,-12.847,-0.4913,-0.2803,-0.0399,-1.749,2.176,-9.549,-0.001134,0.000236,7.4e-05
5319,1711208873.9945884,0.3529078960418701,149.699,-10.169,-12.847,-0.4931,-0.2823,-0.0454,-1.763,2.182,-9.543,0.002239,-0.001341,-0.000309
5320,1711208874.016203,0.37452244758605957,149.699,-10.169,-12.848,-0.4886,-0.2883,-0.0418,-1.767,2.194,-9.558,0.001651,-0.000405,-0.000163
5321,1711208874.042057,0.400376558303833,149.7,-10.17,-12.849,-0.4932,-0.2843,-0.0487,-1.747,2.183,-9.551,-0.000544,-0.000767,0.000118
5322,1711208874.066132,0.4244515895843506,149.702,-10.17,-12.848,-0.4922,-0.2803,-0.0443,-1.751,2.204,-9.541,0.000798,0.001283,0.000215
5323,1711208874.0931883,0.4515078067779541,149.704,-10.169,-12.847,-0.4913,-0.2823,-0.042,-1.764,2.183,-9.559,0.003106,-0.001648,-8e-05
5324,1711208874.1161282,0.47444772720336914,149.702,-10.17,-12.846,-0.4931,-0.2813,-0.0422,-1.79,2.182,-9.554,-0.000429,-0.000478,0.001421
5325,1711208874.1420174,0.5003368854522705,149.702,-10.17,-12.845,-0.4914,-0.2873,-0.0442,-1.763,2.161,-9.543,-0.001242,-0.000416,-0.000412
5326,1711208874.1665006,0.52482008934021,149.702,-10.171,-12.847,-0.4922,-0.2833,-0.0432,-1.748,2.181,-9.544,-0.001478,-0.000219,0.000535
5327,1711208874.1919627,0.5502822399139404,149.703,-10.17,-12.847,-0.4893,-0.2744,-0.0409,-1.762,2.194,-9.531,-0.000376,0.000967,-0.00026
5328,1711208874.217207,0.5755264759063721,149.704,-10.17,-12.848,-0.4904,-0.2843,-0.043,-1.771,2.188,-9.547,-0.004756,0.001858,0.00093
5329,1711208874.2421985,0.600517988204956,149.704,-10.17,-12.848,-0.495,-0.2842,-0.0444,-1.768,2.153,-9.562,-0.002544,0.001692,-0.000649
5330,1711208874.2668762,0.6251957416534424,149.707,-10.171,-12.847,-0.4932,-0.2843,-0.0399,-1.769,2.16,-9.562,-0.003717,0.002398,0.000425
5331,1711208874.2919052,0.6502246856689453,149.705,-10.171,-12.847,-0.4941,-0.2832,-0.0444,-1.773,2.196,-9.539,-0.003388,0.00164,0.001187
5332,1711208874.3171287,0.6754481792449951,149.704,-10.172,-12.849,-0.4931,-0.2823,-0.0432,-1.754,2.188,-9.564,-0.003684,0.002672,0.001183
5333,1711208874.3418632,0.7001826763153076,149.705,-10.171,-12.849,-0.4913,-0.2813,-0.0431,-1.741,2.188,-9.551,-0.00347,0.002269,-0.001427
5334,1711208874.366812,0.7251315116882324,149.707,-10.172,-12.85,-0.4913,-0.2833,-0.0464,-1.755,2.195,-9.503,-0.00191,0.002103,-0.000178
5335,1711208874.394162,0.7524814605712891,149.707,-10.171,-12.848,-0.4922,-0.2823,-0.0388,-1.781,2.168,-9.56,0.001781,0.000623,0.000468
