Tau,Adev
1.0,0.002852206729928792
2.0,0.0009515607888363913
3.0,0.0007037029589523767
4.0,0.0006389070528725553
5.0,0.0004937035784673647
6.0,0.00039877195451369966
7.0,0.0003907714534912875
8.0,0.00035169360284005395
9.0,0.0002973129192860031
10.0,0.00030561642074733057
11.0,0.00027958263603424676
12.0,0.00025014823881455744
13.0,0.00025069665648456654
14.0,0.0002443027776032062
15.0,0.00020847491124589178
16.0,0.00022418187985696281
17.0,0.0002105787437211157
18.0,0.0001897156775878245
19.0,0.00019746104259121738
20.0,0.000188943674198177
21.0,0.00017041829663921176
22.0,0.000180616259984324
23.0,0.0001701823885091446
24.0,0.0001569017833094032
25.0,0.00016518419080260836
26.0,0.0001554087360999745
27.0,0.0001448194328215836
28.0,0.00015292922122152748
29.0,0.00014292946205932846
30.0,0.00013661147046288178
31.0,0.00014078697980927135
32.0,0.0001340934193260538
33.0,0.00012865842742770223
34.0,0.0001317770633349146
35.0,0.00012647992198685487
36.0,0.00012023651577080139
37.0,0.00012451622067581565
38.0,0.00011955820965317921
39.0,0.00011369695842353047
40.0,0.00011834820558073353
41.0,0.0001136383855436532
42.0,0.00010828241256947876
43.0,0.00011271692516877404
44.0,0.00010819312216180578
45.0,0.00010404893450701787
46.0,0.00010830437121256741
47.0,0.00010385828025998431
48.0,0.00010033077046480035
49.0,0.00010415395411845664
50.0,0.00010053898239883798
51.0,9.662483125157005e-05
52.0,0.00010135962604033583
53.0,9.651654567576264e-05
54.0,9.469290472344736e-05
55.0,9.740132788382167e-05
56.0,9.402020704143803e-05
57.0,9.148076719139315e-05
58.0,9.45321880208683e-05
59.0,9.108144612637897e-05
60.0,8.895400246071185e-05
61.0,9.166057019347344e-05
62.0,8.84664940221716e-05
63.0,8.67360484263587e-05
64.0,8.902211013790707e-05
65.0,8.662341710442745e-05
66.0,8.389909758641753e-05
67.0,8.721829568613743e-05
68.0,8.378741939783951e-05
69.0,8.208544035395359e-05
70.0,8.473509967705908e-05
71.0,8.160179454318056e-05
72.0,8.007033315739169e-05
73.0,8.25818708352366e-05
74.0,7.939828553852336e-05
75.0,7.830142777617524e-05
76.0,8.034634728699737e-05
77.0,7.756958115208224e-05
78.0,7.616955493302876e-05
79.0,7.856127235672053e-05
80.0,7.531883110837772e-05
81.0,7.482741192054758e-05
82.0,7.618521572713488e-05
83.0,7.403020586681532e-05
84.0,7.292230021231463e-05
85.0,7.471507960042873e-05
86.0,7.254982722079574e-05
87.0,7.127378996136459e-05
88.0,7.339564810289352e-05
89.0,7.08470862819858e-05
90.0,7.004558995461848e-05
91.0,7.180741662394597e-05
92.0,6.959904366654428e-05
93.0,6.866098670084353e-05
94.0,7.061127001551965e-05
95.0,6.809268782630276e-05
96.0,6.7654269222025e-05
97.0,6.908023114097113e-05
98.0,6.70764631663706e-05
99.0,6.637999564487404e-05
100.0,6.795420909601006e-05
101.0,6.588566455847597e-05
102.0,6.523915985071923e-05
103.0,6.682342567744118e-05
104.0,6.475696472204929e-05
105.0,6.429568149821506e-05
106.0,6.555706706137521e-05
107.0,6.3838061296926e-05
108.0,6.308275414357248e-05
109.0,6.465098769126966e-05
110.0,6.263818463489467e-05
111.0,6.219357131490667e-05
112.0,6.352822643723576e-05
113.0,6.167684751317537e-05
114.0,6.121994844971744e-05
115.0,6.249388959510853e-05
116.0,6.077901983086492e-05
117.0,6.0305952181746745e-05
118.0,6.160086319126542e-05
119.0,5.9840314963470936e-05
120.0,5.9481808830298225e-05
121.0,6.0635876837161416e-05
122.0,5.908770775459575e-05
123.0,5.8491483972502726e-05
124.0,5.993759717285225e-05
125.0,5.807468084209561e-05
126.0,5.779859435446452e-05
127.0,5.89612088263767e-05
128.0,5.729241142079977e-05
129.0,5.69772875224867e-05
130.0,5.8117021621248045e-05
131.0,5.651792920200109e-05
132.0,5.629556013372389e-05
133.0,5.7395414378196926e-05
134.0,5.5887576123075484e-05
135.0,5.5617022465766375e-05
136.0,5.6732491069588596e-05
137.0,5.527013654962757e-05
138.0,5.500309503779488e-05
139.0,5.609775757186764e-05
140.0,5.465225003032111e-05
141.0,5.444818185119265e-05
142.0,5.542651609246616e-05
143.0,5.410876565531153e-05
144.0,5.3860565115801914e-05
145.0,5.489984021387413e-05
146.0,5.352134715170886e-05
147.0,5.3334156307767966e-05
148.0,5.4309815046202524e-05
149.0,5.298345962651515e-05
150.0,5.279274950268398e-05
151.0,5.378890802198259e-05
152.0,5.246390648181785e-05
153.0,5.236768581340125e-05
154.0,5.327804535290743e-05
155.0,5.1994596977125486e-05
156.0,5.194905267177011e-05
157.0,5.276053997177374e-05
158.0,5.1623247828825424e-05
159.0,5.151359972109083e-05
160.0,5.232176864518229e-05
161.0,5.1234322716752136e-05
162.0,5.1104043300162654e-05
163.0,5.19101346791936e-05
164.0,5.0846764712019796e-05
165.0,5.0652659408687175e-05
166.0,5.1509305057580174e-05
167.0,5.04020377038269e-05
168.0,5.030252765207662e-05
169.0,5.109019941133287e-05
170.0,5.001998224029172e-05
171.0,4.991346515843285e-05
172.0,5.069317247828788e-05
173.0,4.963687562497366e-05
174.0,4.9559908266784616e-05
175.0,5.0284682507673365e-05
176.0,4.923160303597479e-05
177.0,4.9220430127501894e-05
178.0,4.98754253658145e-05
179.0,4.8906896599942655e-05
180.0,4.886116126574056e-05
181.0,4.950093002502498e-05
182.0,4.855118786304906e-05
183.0,4.851723280840836e-05
184.0,4.913150763967673e-05
185.0,4.82276030780835e-05
186.0,4.814977065964397e-05
187.0,4.8788840334446235e-05
188.0,4.7853383330942574e-05
189.0,4.7822612439255326e-05
190.0,4.842311832557995e-05
191.0,4.7509912410616335e-05
192.0,4.7500710574978804e-05
193.0,4.804413042145833e-05
194.0,4.719012541732677e-05
195.0,4.713366842447433e-05
196.0,4.770292282979712e-05
197.0,4.6800140823184655e-05
198.0,4.6829900216794556e-05
199.0,4.7309692485570883e-05
200.0,4.647960994082977e-05
201.0,4.6477319599184176e-05
202.0,4.698502789259139e-05
203.0,4.6136816324132626e-05
204.0,4.6204521505738875e-05
205.0,4.664212145422376e-05
206.0,4.583764889826977e-05
207.0,4.5911361489965885e-05
208.0,4.628450361906631e-05
209.0,4.560526987274257e-05
210.0,4.5596571009567024e-05
211.0,4.605572929469502e-05
212.0,4.531542964645224e-05
213.0,4.539370789816889e-05
214.0,4.5761484348424165e-05
215.0,4.510365922714235e-05
216.0,4.510644319025093e-05
217.0,4.553895688342214e-05
218.0,4.482137205600338e-05
219.0,4.487818408864839e-05
220.0,4.528569806725189e-05
221.0,4.4575559523000936e-05
222.0,4.469182414277071e-05
223.0,4.500974984985636e-05
224.0,4.4389775694955024e-05
225.0,4.445869928168502e-05
226.0,4.481309403917642e-05
227.0,4.41583970971252e-05
228.0,4.4290486967064835e-05
229.0,4.455063714408719e-05
230.0,4.3998555764648076e-05
231.0,4.406872180462964e-05
232.0,4.4361437161287894e-05
233.0,4.379992094423996e-05
234.0,4.386895860239044e-05
235.0,4.415519509320779e-05
236.0,4.3602632560454355e-05
237.0,4.3693785698874515e-05
238.0,4.397558590676143e-05
239.0,4.3433952586679285e-05
240.0,4.353791944057921e-05
241.0,4.380561327728344e-05
242.0,4.3259959679226746e-05
243.0,4.336833649489518e-05
244.0,4.360237072847253e-05
245.0,4.307105509042498e-05
246.0,4.318619700785284e-05
247.0,4.339846348625326e-05
248.0,4.2860514835350715e-05
249.0,4.3011760128960865e-05
250.0,4.3180347672219556e-05
251.0,4.269153142594587e-05
252.0,4.2820710833881584e-05
253.0,4.299580881437796e-05
254.0,4.250090793971992e-05
255.0,4.265064825389891e-05
256.0,4.279403210149321e-05
257.0,4.234478710988317e-05
258.0,4.248191591619966e-05
259.0,4.260146255887489e-05
260.0,4.218418665505672e-05
261.0,4.22834219271227e-05
262.0,4.2423990744532926e-05
263.0,4.197308570724862e-05
264.0,4.2093367852972426e-05
265.0,4.221106014841581e-05
266.0,4.175617104925188e-05
267.0,4.1908664845189704e-05
268.0,4.2002428489384506e-05
269.0,4.15752390984778e-05
270.0,4.1742341442080394e-05
271.0,4.18121914566321e-05
272.0,4.140444988385686e-05
273.0,4.1578711114333116e-05
274.0,4.162528696980979e-05
275.0,4.124001675453191e-05
276.0,4.1416769735731125e-05
277.0,4.145516802113248e-05
278.0,4.108369721411744e-05
279.0,4.126510321855608e-05
280.0,4.127346413474051e-05
281.0,4.095135697095232e-05
282.0,4.110594637191289e-05
283.0,4.1121690649314934e-05
284.0,4.0806741042779686e-05
285.0,4.093918174464568e-05
286.0,4.0967815006336e-05
287.0,4.063160231732561e-05
288.0,4.078331880998511e-05
289.0,4.080411840077549e-05
290.0,4.046743288634668e-05
291.0,4.063224537278654e-05
292.0,4.0630006803620305e-05
293.0,4.030075921570869e-05
294.0,4.0482223627934885e-05
295.0,4.045693012126689e-05
296.0,4.015209135651164e-05
297.0,4.0335543473016054e-05
298.0,4.030438989845125e-05
299.0,3.999914700728345e-05
300.0,4.019650240297187e-05
301.0,4.013128897534085e-05
302.0,3.985881237880045e-05
303.0,4.003361929126267e-05
304.0,3.996957481630829e-05
305.0,3.970815772521981e-05
306.0,3.987290224649406e-05
307.0,3.981143073525412e-05
308.0,3.955770845211246e-05
309.0,3.972065482338461e-05
310.0,3.9679557932969266e-05
311.0,3.940258371321312e-05
312.0,3.95974010751243e-05
313.0,3.952149905973732e-05
314.0,3.926428750859434e-05
315.0,3.945889656457464e-05
316.0,3.937034344465e-05
317.0,3.91244634221104e-05
318.0,3.9315577871957275e-05
319.0,3.921894960886388e-05
320.0,3.8981101466418504e-05
321.0,3.918474435334433e-05
322.0,3.907052200274271e-05
323.0,3.8845048805817215e-05
324.0,3.903554538301481e-05
325.0,3.892584993722727e-05
326.0,3.869269869517543e-05
327.0,3.8906069104432154e-05
328.0,3.876736806260703e-05
329.0,3.857333553667524e-05
330.0,3.87736431253695e-05
331.0,3.8627238554385225e-05
332.0,3.8440860973364846e-05
333.0,3.863317843078955e-05
334.0,3.849924272930454e-05
335.0,3.831220819022665e-05
336.0,3.850529400843678e-05
337.0,3.83736514754429e-05
338.0,3.818324336559194e-05
339.0,3.838370488340898e-05
340.0,3.825023885271806e-05
341.0,3.80578460694413e-05
342.0,3.827369168135245e-05
343.0,3.8115381688028186e-05
344.0,3.7932354178451936e-05
345.0,3.815512526912942e-05
346.0,3.7969523822887344e-05
347.0,3.781610460945025e-05
348.0,3.800890730498073e-05
349.0,3.7830721287411744e-05
350.0,3.7681204836150504e-05
351.0,3.786581639997754e-05
352.0,3.7688884428142636e-05
353.0,3.754263138752105e-05
354.0,3.7729554061661864e-05
355.0,3.7555091326271736e-05
356.0,3.7404082211567005e-05
357.0,3.759763380628523e-05
358.0,3.742043536075421e-05
359.0,3.7266574364531094e-05
360.0,3.7462594075891895e-05
361.0,3.727435560966768e-05
362.0,3.7135666012677343e-05
363.0,3.7323006487281044e-05
364.0,3.714611140384445e-05
365.0,3.699691462920557e-05
366.0,3.720144344380835e-05
367.0,3.700750856108521e-05
368.0,3.686280346270381e-05
369.0,3.707559382527293e-05
370.0,3.686888282614462e-05
371.0,3.6741386161376136e-05
372.0,3.6942618487673585e-05
373.0,3.6740863761577424e-05
374.0,3.6624712859278206e-05
375.0,3.6825968648415676e-05
376.0,3.662331524549704e-05
377.0,3.6507019219968724e-05
378.0,3.670681127580749e-05
379.0,3.649731909964369e-05
380.0,3.6386810771701485e-05
381.0,3.65763974522784e-05
382.0,3.6361712709904284e-05
383.0,3.6249449447972476e-05
384.0,3.6444415182378534e-05
385.0,3.6231905640218884e-05
386.0,3.6124678896963876e-05
387.0,3.631932678257608e-05
388.0,3.610627624706588e-05
389.0,3.600117086804438e-05
390.0,3.620690541829075e-05
391.0,3.598576410618831e-05
392.0,3.588115460306294e-05
393.0,3.6090897800658424e-05
394.0,3.586000759285233e-05
395.0,3.5768688576785374e-05
396.0,3.5974273437100055e-05
397.0,3.573616094464608e-05
398.0,3.564848686687001e-05
399.0,3.584065653194111e-05
400.0,3.559558830564067e-05
401.0,3.5519459036702445e-05
402.0,3.5699691125243906e-05
403.0,3.5472474830929474e-05
404.0,3.538845875317382e-05
405.0,3.557225192992513e-05
406.0,3.5338758658948786e-05
407.0,3.5258664789792714e-05
408.0,3.543250709254931e-05
409.0,3.5210399323676085e-05
410.0,3.512381804912485e-05
411.0,3.5304061090320756e-05
412.0,3.507070941168645e-05
413.0,3.4987130723396255e-05
414.0,3.5170151284256454e-05
415.0,3.493235952664344e-05
416.0,3.485567000986968e-05
417.0,3.50356147754712e-05
418.0,3.4791006644926714e-05
419.0,3.4720211702813814e-05
420.0,3.489742785547073e-05
421.0,3.465430449121224e-05
422.0,3.4586366198166934e-05
423.0,3.475886335005389e-05
424.0,3.451710203345135e-05
425.0,3.445670415103767e-05
426.0,3.462183819752101e-05
427.0,3.438566781898092e-05
428.0,3.432244885704592e-05
429.0,3.4481744975251305e-05
430.0,3.4254317087633556e-05
431.0,3.418517338158362e-05
432.0,3.434923858973657e-05
433.0,3.411923596174212e-05
434.0,3.405981165816022e-05
435.0,3.42294377684372e-05
436.0,3.399942194399457e-05
437.0,3.394040540809548e-05
438.0,3.410909155850321e-05
439.0,3.38781029213085e-05
440.0,3.3817182750266876e-05
441.0,3.398849654333243e-05
442.0,3.3750351680550025e-05
443.0,3.370083402114049e-05
444.0,3.3866603080669e-05
445.0,3.362678206357615e-05
446.0,3.358634683502713e-05
447.0,3.374199005120494e-05
448.0,3.350542133946682e-05
449.0,3.346680683262204e-05
450.0,3.362193326959309e-05
451.0,3.338767335969573e-05
452.0,3.334818820575119e-05
453.0,3.350233144742222e-05
454.0,3.327469793373984e-05
455.0,3.323725951097461e-05
456.0,3.338941283313528e-05
457.0,3.3159532171119826e-05
458.0,3.312439671494979e-05
459.0,3.327150156541982e-05
460.0,3.304479907639968e-05
461.0,3.300729784244776e-05
462.0,3.3153381707043935e-05
463.0,3.29252887206906e-05
464.0,3.2891997790712766e-05
465.0,3.3037115975665915e-05
466.0,3.280824836228523e-05
467.0,3.277886035093428e-05
468.0,3.2923856435681233e-05
469.0,3.2692327925846855e-05
470.0,3.267608945769834e-05
471.0,3.2802913184972995e-05
472.0,3.2579713519598834e-05
473.0,3.256034797036217e-05
474.0,3.268212534111547e-05
475.0,3.24618257024369e-05
476.0,3.243982116042135e-05
477.0,3.255897160528251e-05
478.0,3.234143191402525e-05
479.0,3.231538616278088e-05
480.0,3.2431901437026676e-05
481.0,3.2218942138128216e-05
482.0,3.218958062433451e-05
483.0,3.231065756231823e-05
484.0,3.209031732347121e-05
485.0,3.206898975222804e-05
486.0,3.218279705274005e-05
487.0,3.19655235573715e-05
488.0,3.194898676396537e-05
489.0,3.205934321749e-05
490.0,3.1848087525953774e-05
491.0,3.182976923359843e-05
492.0,3.1942287983694746e-05
493.0,3.173332859113933e-05
494.0,3.1723542160936826e-05
495.0,3.1824971035519495e-05
496.0,3.162237327359946e-05
497.0,3.161208613963239e-05
498.0,3.17135018867353e-05
499.0,3.1509320966547935e-05
500.0,3.149718892304544e-05
501.0,3.15930083043071e-05
502.0,3.13899573951995e-05
503.0,3.1376629979724765e-05
504.0,3.1466571480997466e-05
505.0,3.126408779661642e-05
506.0,3.1248557433981755e-05
507.0,3.133480956700462e-05
508.0,3.113192860235708e-05
509.0,3.1116316938325924e-05
510.0,3.120192885990024e-05
511.0,3.0991022450876934e-05
512.0,3.098346799976093e-05
513.0,3.10625309428919e-05
514.0,3.0861593208906945e-05
515.0,3.085208795559488e-05
516.0,3.09274214847789e-05
517.0,3.072934085682223e-05
518.0,3.0724594520216036e-05
519.0,3.07967731585459e-05
520.0,3.0593144763909813e-05
521.0,3.0602205206333184e-05
522.0,3.0662227476603626e-05
523.0,3.0477681838148052e-05
524.0,3.0477815921645253e-05
525.0,3.054300528565292e-05
526.0,3.0357202178066837e-05
527.0,3.0366514157534054e-05
528.0,3.042082332910506e-05
529.0,3.0244036564214835e-05
530.0,3.0249803923266405e-05
531.0,3.0302049692551434e-05
532.0,3.0127020299236624e-05
533.0,3.0129813077100527e-05
534.0,3.0186278827667496e-05
535.0,3.000153761857007e-05
536.0,3.0015352457841412e-05
537.0,3.0058270623536715e-05
538.0,2.9883393621013024e-05
539.0,2.9893749725300556e-05
540.0,2.9935523697702886e-05
541.0,2.976197797970245e-05
542.0,2.9774665036072828e-05
543.0,2.981172694411647e-05
544.0,2.963862075857184e-05
545.0,2.965706793879603e-05
546.0,2.9687104846212e-05
547.0,2.952210149833048e-05
548.0,2.9539902836922674e-05
549.0,2.956792977949125e-05
550.0,2.9410577891471107e-05
551.0,2.9424656465815757e-05
552.0,2.9449135566067712e-05
553.0,2.9295713399863353e-05
554.0,2.9305740378329013e-05
555.0,2.933132876919247e-05
556.0,2.917154979128454e-05
557.0,2.9187307908275527e-05
558.0,2.920909742256558e-05
559.0,2.9049702083581135e-05
560.0,2.907200933605365e-05
561.0,2.908476908993742e-05
562.0,2.8935057789165624e-05
563.0,2.895323721396435e-05
564.0,2.8971432788115222e-05
565.0,2.881719991303523e-05
566.0,2.884691902534706e-05
567.0,2.8853066361779258e-05
568.0,2.8703952933374424e-05
569.0,2.873174348742516e-05
570.0,2.873450031698479e-05
571.0,2.85885991294174e-05
572.0,2.8616449947218056e-05
573.0,2.8619473955868e-05
574.0,2.847521253384212e-05
575.0,2.850742114323931e-05
576.0,2.8502851817742098e-05
577.0,2.8365454471652034e-05
578.0,2.8392388134422692e-05
579.0,2.8390007294168695e-05
580.0,2.824468645037879e-05
581.0,2.8281241995229498e-05
582.0,2.8268972919182428e-05
583.0,2.8132840677375564e-05
584.0,2.8168776731075907e-05
585.0,2.8157577318101946e-05
586.0,2.8025310985569487e-05
587.0,2.8065123286871082e-05
588.0,2.8048839804953338e-05
589.0,2.791573784305091e-05
590.0,2.795954503793287e-05
591.0,2.793500768085682e-05
592.0,2.7807884862926397e-05
593.0,2.7852579514163254e-05
594.0,2.7825264781131074e-05
595.0,2.7704220041491756e-05
596.0,2.7748660420890527e-05
597.0,2.7721378258479227e-05
598.0,2.7601318226628092e-05
599.0,2.7646640929934627e-05
600.0,2.7611473914578652e-05
601.0,2.7495090835489717e-05
602.0,2.7539993925641238e-05
603.0,2.750370773407199e-05
604.0,2.7389504264939255e-05
605.0,2.743492612945825e-05
606.0,2.739952213151439e-05
607.0,2.7284187555784565e-05
608.0,2.7335545663071434e-05
609.0,2.729289258116661e-05
610.0,2.718489388920209e-05
611.0,2.7231934831152593e-05
612.0,2.7190224046791196e-05
613.0,2.707885427082856e-05
614.0,2.7135531978414638e-05
615.0,2.7084326368791544e-05
616.0,2.6982633611097688e-05
617.0,2.7036166712660668e-05
618.0,2.6982267799955297e-05
619.0,2.688629513360542e-05
620.0,2.693424724357739e-05
621.0,2.6885401748662872e-05
622.0,2.6779604420397594e-05
623.0,2.683948735293251e-05
624.0,2.6778344554067942e-05
625.0,2.668753130777462e-05
626.0,2.673904769823917e-05
627.0,2.6684450509709925e-05
628.0,2.658805381101782e-05
629.0,2.6647411962264433e-05
630.0,2.6592156536578773e-05
631.0,2.6494671219248623e-05
632.0,2.6558293820320046e-05
633.0,2.649754420699005e-05
634.0,2.6408765834440916e-05
635.0,2.6470415906770848e-05
636.0,2.6410074459447793e-05
637.0,2.6315507661231034e-05
638.0,2.6383859404449953e-05
639.0,2.6313110054980124e-05
640.0,2.6223861843804588e-05
641.0,2.629337841313825e-05
642.0,2.6218387086359966e-05
643.0,2.6136438740747778e-05
644.0,2.620232196889839e-05
645.0,2.6129734935439234e-05
646.0,2.6048433692596913e-05
647.0,2.6116390549250744e-05
648.0,2.6036573902742033e-05
649.0,2.596233260409316e-05
650.0,2.6028357076109633e-05
651.0,2.595323745677825e-05
652.0,2.5874598484341777e-05
653.0,2.594681208987397e-05
654.0,2.5866881258366055e-05
655.0,2.5789409669266663e-05
656.0,2.5862806691217603e-05
657.0,2.5779281678337588e-05
658.0,2.5704404083302026e-05
659.0,2.5781610170520127e-05
660.0,2.5692664109577556e-05
661.0,2.5627232966712718e-05
662.0,2.570080502116251e-05
663.0,2.561484194286222e-05
664.0,2.555001046421105e-05
665.0,2.562495340209882e-05
666.0,2.553472869553859e-05
667.0,2.54699607981575e-05
668.0,2.5543331798782997e-05
669.0,2.545056636804039e-05
670.0,2.5385275354984892e-05
671.0,2.5457931431273927e-05
672.0,2.535914546549783e-05
673.0,2.5298313717911858e-05
674.0,2.5369777581669593e-05
675.0,2.5269391541221477e-05
676.0,2.5213209495855316e-05
677.0,2.5280830826081488e-05
678.0,2.5187658423628957e-05
679.0,2.512494451082529e-05
680.0,2.5199090636048143e-05
681.0,2.5103317868451538e-05
682.0,2.5045277015751912e-05
683.0,2.5121749250930974e-05
684.0,2.502335728437131e-05
685.0,2.496795696886506e-05
686.0,2.5046874348025592e-05
687.0,2.4948019717795504e-05
688.0,2.489436347286401e-05
689.0,2.497681158560531e-05
690.0,2.487437995827891e-05
691.0,2.4826959034328096e-05
692.0,2.490548037201127e-05
693.0,2.480829315850475e-05
694.0,2.4756113010371367e-05
695.0,2.48409598883004e-05
696.0,2.473435898592573e-05
697.0,2.468963684645048e-05
698.0,2.4765801615907474e-05
699.0,2.4661663613705965e-05
700.0,2.4613536781112987e-05
701.0,2.469043678219473e-05
702.0,2.458642014599072e-05
703.0,2.453651370282655e-05
704.0,2.461916352512753e-05
705.0,2.4508551731203865e-05
706.0,2.4462958364815303e-05
707.0,2.4542139670864077e-05
708.0,2.443333467891706e-05
709.0,2.4389106160118615e-05
710.0,2.4472239099747402e-05
711.0,2.435997169456738e-05
712.0,2.4318615921895866e-05
713.0,2.4401889003855342e-05
714.0,2.4287869856878845e-05
715.0,2.425013897198841e-05
716.0,2.432871096529083e-05
717.0,2.4214044626346427e-05
718.0,2.4178606186993e-05
719.0,2.4253266184240973e-05
720.0,2.4141098110342494e-05
721.0,2.4101228420654626e-05
722.0,2.4181922419199685e-05
723.0,2.4061372371004527e-05
724.0,2.402858349616474e-05
725.0,2.410269769158825e-05
726.0,2.3989224384951416e-05
727.0,2.3955406349931094e-05
728.0,2.403110413413958e-05
729.0,2.391757303247438e-05
730.0,2.3884773986927962e-05
731.0,2.3963214322895993e-05
732.0,2.384365618558599e-05
733.0,2.3819141788479836e-05
734.0,2.3891785929373663e-05
735.0,2.3779171081789855e-05
736.0,2.375037796060878e-05
737.0,2.3827112777061633e-05
738.0,2.3712105905876177e-05
739.0,2.368691205882347e-05
740.0,2.3760666485367265e-05
741.0,2.3644857764650526e-05
742.0,2.3624475905980988e-05
743.0,2.3693626335284542e-05
744.0,2.358534053669906e-05
745.0,2.3556370874273556e-05
746.0,2.363607022648041e-05
747.0,2.3518688692562662e-05
748.0,2.349800133037778e-05
749.0,2.3571572293181678e-05
750.0,2.3457334462519372e-05
751.0,2.343745189925068e-05
752.0,2.350997635417647e-05
753.0,2.3400455508691285e-05
754.0,2.3379794657166476e-05
755.0,2.3453605785633117e-05
756.0,2.3340568732220166e-05
757.0,2.332439546442669e-05
758.0,2.339418325356371e-05
759.0,2.3284357215457527e-05
760.0,2.3264247930581084e-05
761.0,2.3337822194295317e-05
762.0,2.32275168057348e-05
763.0,2.3209859207339267e-05
764.0,2.3284976545048133e-05
765.0,2.3171585302657824e-05
766.0,2.316139083221275e-05
767.0,2.3228389272148744e-05
768.0,2.311942280721687e-05
769.0,2.3106489424551337e-05
770.0,2.3175375727054152e-05
771.0,2.306356835914866e-05
772.0,2.3051763231619178e-05
773.0,2.3118420277638064e-05
774.0,2.300850959197652e-05
775.0,2.2994109971621707e-05
776.0,2.3061270223528143e-05
777.0,2.294975104822477e-05
778.0,2.294061140397324e-05
779.0,2.3005051829532186e-05
780.0,2.2894295457561376e-05
781.0,2.288839555575648e-05
782.0,2.295095559585473e-05
783.0,2.2845501608294396e-05
784.0,2.283827253123641e-05
785.0,2.2900443690460502e-05
786.0,2.2791442032916288e-05
787.0,2.2787667222039938e-05
788.0,2.284505731031703e-05
789.0,2.2740627916687656e-05
790.0,2.273665983241657e-05
791.0,2.2796678197171433e-05
792.0,2.269126767057753e-05
793.0,2.26924260535264e-05
794.0,2.274807686718568e-05
795.0,2.264536553371853e-05
796.0,2.264567147372068e-05
797.0,2.27008258521212e-05
798.0,2.259957974084492e-05
799.0,2.2600794151334873e-05
800.0,2.265339065671971e-05
801.0,2.2553300524032406e-05
802.0,2.2554425025506023e-05
803.0,2.2603861538178906e-05
804.0,2.2506521452792805e-05
805.0,2.2507631599026612e-05
806.0,2.255743638022362e-05
807.0,2.245876052538063e-05
808.0,2.246121773185977e-05
809.0,2.2510197965274005e-05
810.0,2.241255539779671e-05
811.0,2.2414136477485396e-05
812.0,2.2461125176270842e-05
813.0,2.2361575506124525e-05
814.0,2.236739224350803e-05
815.0,2.2409963538268404e-05
816.0,2.2315648762027257e-05
817.0,2.2320216313024065e-05
818.0,2.2362248378608127e-05
819.0,2.226822999886934e-05
820.0,2.227325867103067e-05
821.0,2.2312918272858498e-05
822.0,2.2221526609890456e-05
823.0,2.2224120182761234e-05
824.0,2.2266126913734814e-05
825.0,2.217015127409176e-05
826.0,2.2178433200112257e-05
827.0,2.2214900805597593e-05
828.0,2.2123539149593322e-05
829.0,2.213180235170481e-05
830.0,2.216940612288281e-05
831.0,2.207699970583426e-05
832.0,2.2088475753443432e-05
833.0,2.212181417550151e-05
834.0,2.2032915823413692e-05
835.0,2.204346952568985e-05
836.0,2.2078953701891143e-05
837.0,2.1989287584275796e-05
838.0,2.2002676036886506e-05
839.0,2.2032719018528218e-05
840.0,2.194386302487331e-05
841.0,2.19583089391667e-05
842.0,2.1987083020194416e-05
