Tau,Adev
1.0,0.0014581740378726172
2.0,0.0006360082846091757
3.0,0.0004935510096433095
4.0,0.00043760369752240627
5.0,0.00036848858372141044
6.0,0.0003219515036909473
7.0,0.0003043279776129456
8.0,0.0002806165929049161
9.0,0.00025626923038321657
10.0,0.000249636812050025
11.0,0.00023551765132470527
12.0,0.00022152308119285515
13.0,0.00021569400594467775
14.0,0.00020837937106727897
15.0,0.00019471425212073097
16.0,0.00019417865755103143
17.0,0.00018683031306774683
18.0,0.00017810241100771077
19.0,0.0001762026573422209
20.0,0.00017076233055009142
21.0,0.0001633543104427
22.0,0.0001627241280384589
23.0,0.00015757988074134138
24.0,0.00015203854116625768
25.0,0.0001515505420539095
26.0,0.0001470192803178676
27.0,0.00014257302419859347
28.0,0.00014230912769324006
29.0,0.00013787011655098897
30.0,0.00013457163355454186
31.0,0.00013363766570682203
32.0,0.0001304099355060704
33.0,0.0001275819500758102
34.0,0.0001267385731862135
35.0,0.000124063510201567
36.0,0.00012129398598340944
37.0,0.00012084846136661086
38.0,0.00011839940040483195
39.0,0.00011584410910809276
40.0,0.00011562408169015306
41.0,0.00011347279733081089
42.0,0.00011122440864112642
43.0,0.0001111418037759233
44.0,0.00010912041966746568
45.0,0.00010721547743731429
46.0,0.00010717678302001594
47.0,0.0001052950125739776
48.0,0.000103689155164231
49.0,0.0001036790884463756
50.0,0.00010208344235669331
51.0,0.00010051665895994433
52.0,0.00010078734645960961
53.0,9.90890711737198e-05
54.0,9.799527430790781e-05
55.0,9.797064249471242e-05
56.0,9.663107898311973e-05
57.0,9.554878229050092e-05
58.0,9.564210244041419e-05
59.0,9.43834102278523e-05
60.0,9.33796327198082e-05
61.0,9.337692574214673e-05
62.0,9.215811991792503e-05
63.0,9.126133229032837e-05
64.0,9.117071166087015e-05
65.0,9.010027901779225e-05
66.0,8.901929489231606e-05
67.0,8.91810095659672e-05
68.0,8.79727772384699e-05
69.0,8.71386668549831e-05
70.0,8.722086455080078e-05
71.0,8.608549089531568e-05
72.0,8.5301163170547e-05
73.0,8.539012264809132e-05
74.0,8.429965560308247e-05
75.0,8.367085836196914e-05
76.0,8.368902634742488e-05
77.0,8.275099061856863e-05
78.0,8.209685897576898e-05
79.0,8.222998697736369e-05
80.0,8.12240197191568e-05
81.0,8.078868017479783e-05
82.0,8.073107654041909e-05
83.0,7.996559430878849e-05
84.0,7.944496718654917e-05
85.0,7.949607660378542e-05
86.0,7.877441323541755e-05
87.0,7.823820322967917e-05
88.0,7.83771151258699e-05
89.0,7.758245022880993e-05
90.0,7.713950196942369e-05
91.0,7.721387958732143e-05
92.0,7.65116080158389e-05
93.0,7.60622749633521e-05
94.0,7.62002056709127e-05
95.0,7.546882804209384e-05
96.0,7.5128969527068e-05
97.0,7.515557411564915e-05
98.0,7.450130664458175e-05
99.0,7.41008335120403e-05
100.0,7.416246895927125e-05
101.0,7.35007419729643e-05
102.0,7.312592419033417e-05
103.0,7.318207839827643e-05
104.0,7.252633174649397e-05
105.0,7.218890279020045e-05
106.0,7.217965256153985e-05
107.0,7.160902282985918e-05
108.0,7.120838499829698e-05
109.0,7.128145509286412e-05
110.0,7.06428982474613e-05
111.0,7.032375413033981e-05
112.0,7.035826525682371e-05
113.0,6.9793992534108e-05
114.0,6.952095703687419e-05
115.0,6.954203031879624e-05
116.0,6.90176817620534e-05
117.0,6.872009742213875e-05
118.0,6.875117849618018e-05
119.0,6.82025776704741e-05
120.0,6.792881909184413e-05
121.0,6.793957779760673e-05
122.0,6.744928853607306e-05
123.0,6.7146885041469e-05
124.0,6.723272428993157e-05
125.0,6.669534488465401e-05
126.0,6.646112393981567e-05
127.0,6.651688131847706e-05
128.0,6.604017955924659e-05
129.0,6.582722649493592e-05
130.0,6.588315806962017e-05
131.0,6.5421378497079e-05
132.0,6.520805768279511e-05
133.0,6.523308946315352e-05
134.0,6.47795203664066e-05
135.0,6.456586715018747e-05
136.0,6.461175022436547e-05
137.0,6.418295637641734e-05
138.0,6.398265401340756e-05
139.0,6.40383478952787e-05
140.0,6.363192392928018e-05
141.0,6.346655348345977e-05
142.0,6.352262199713119e-05
143.0,6.314527742026701e-05
144.0,6.296349901936836e-05
145.0,6.301235230924425e-05
146.0,6.262791608368814e-05
147.0,6.245084760615294e-05
148.0,6.249928895897742e-05
149.0,6.212025207145776e-05
150.0,6.194870760212628e-05
151.0,6.199708691412272e-05
152.0,6.161286281779856e-05
153.0,6.145493193567864e-05
154.0,6.149196281815361e-05
155.0,6.111732589984183e-05
156.0,6.097916979138709e-05
157.0,6.0987448598693515e-05
158.0,6.064723549998312e-05
159.0,6.0492435791132716e-05
160.0,6.0496260860497027e-05
161.0,6.016129277329269e-05
162.0,5.99886969846175e-05
163.0,6.0005246014969334e-05
164.0,5.966781944118665e-05
165.0,5.948990991845553e-05
166.0,5.949365170440669e-05
167.0,5.913089169868024e-05
168.0,5.895335598527049e-05
169.0,5.895305360396368e-05
170.0,5.860399481039247e-05
171.0,5.843598461460993e-05
172.0,5.844124124940491e-05
173.0,5.8108125354130694e-05
174.0,5.795731506083963e-05
175.0,5.795704575756891e-05
176.0,5.763227935328304e-05
177.0,5.749479763388652e-05
178.0,5.748760730030104e-05
179.0,5.717664341861299e-05
180.0,5.703958410254852e-05
181.0,5.703059059804694e-05
182.0,5.672171091558242e-05
183.0,5.658351980753806e-05
184.0,5.657167843614737e-05
185.0,5.628196189271664e-05
186.0,5.6135252554805205e-05
187.0,5.612448241597042e-05
188.0,5.5813059768870214e-05
189.0,5.567007149969727e-05
190.0,5.565688704203084e-05
191.0,5.5362413230304985e-05
192.0,5.5239563994435326e-05
193.0,5.522261929020583e-05
194.0,5.495228087058163e-05
195.0,5.4835053405159715e-05
196.0,5.483834431810104e-05
197.0,5.456579014794582e-05
198.0,5.446467778084866e-05
199.0,5.444639693669241e-05
200.0,5.4183975823813274e-05
201.0,5.407936370680484e-05
202.0,5.406877671082943e-05
203.0,5.380202591229988e-05
204.0,5.37061774190493e-05
205.0,5.3672739418631925e-05
206.0,5.3410888615260976e-05
207.0,5.3310760426889964e-05
208.0,5.3269181639764706e-05
209.0,5.303150938847488e-05
210.0,5.291818253970258e-05
211.0,5.288978575246989e-05
212.0,5.2649170121609295e-05
213.0,5.255215234477235e-05
214.0,5.252230109796286e-05
215.0,5.229925769091959e-05
216.0,5.220382409117781e-05
217.0,5.219761736485294e-05
218.0,5.197334829946458e-05
219.0,5.1898233854774335e-05
220.0,5.189406914569363e-05
221.0,5.1679009845808736e-05
222.0,5.162332962275368e-05
223.0,5.159910789655989e-05
224.0,5.1394847957766845e-05
225.0,5.132445399103104e-05
226.0,5.129827673302518e-05
227.0,5.109332603047126e-05
228.0,5.1032403132689864e-05
229.0,5.100047741051061e-05
230.0,5.082629373820516e-05
231.0,5.075740162010764e-05
232.0,5.073931345321991e-05
233.0,5.055986753772573e-05
234.0,5.050577904382393e-05
235.0,5.049594423028698e-05
236.0,5.032832446667126e-05
237.0,5.0280516385367714e-05
238.0,5.0267384294889054e-05
239.0,5.009605672143414e-05
240.0,5.004980937186933e-05
241.0,5.00375139429431e-05
242.0,4.986871402006567e-05
243.0,4.9826153446101495e-05
244.0,4.980550285091315e-05
245.0,4.963731874121185e-05
246.0,4.9590419981067465e-05
247.0,4.956383645008513e-05
248.0,4.939320368035616e-05
249.0,4.935237960932934e-05
250.0,4.9317666202059693e-05
251.0,4.916172492479523e-05
252.0,4.91189263100609e-05
253.0,4.908932570641777e-05
254.0,4.893128738090759e-05
255.0,4.888928152020326e-05
256.0,4.8847763131450496e-05
257.0,4.869405060258711e-05
258.0,4.8652789876221566e-05
259.0,4.860813417224834e-05
260.0,4.845590482326107e-05
261.0,4.840338861828347e-05
262.0,4.83583051532287e-05
263.0,4.8204886358200006e-05
264.0,4.8162423717097044e-05
265.0,4.811770096449376e-05
266.0,4.7961204098874415e-05
267.0,4.791788471940458e-05
268.0,4.786246552095251e-05
269.0,4.770825455057204e-05
270.0,4.76711249588115e-05
271.0,4.761470295758155e-05
272.0,4.747271992284722e-05
273.0,4.743699074115698e-05
274.0,4.737678504204273e-05
275.0,4.723505607857139e-05
276.0,4.719663801943352e-05
277.0,4.713636078288923e-05
278.0,4.69985049781819e-05
279.0,4.6964163806791915e-05
280.0,4.6898737947856316e-05
281.0,4.676707254221489e-05
282.0,4.673299922946544e-05
283.0,4.666905628862052e-05
284.0,4.65475871627635e-05
285.0,4.651330884652914e-05
286.0,4.646034143903335e-05
287.0,4.633919131260169e-05
288.0,4.631331380961848e-05
289.0,4.626221951821801e-05
290.0,4.614418650445042e-05
291.0,4.612240792071254e-05
292.0,4.606884272777754e-05
293.0,4.595772287377949e-05
294.0,4.594035521084124e-05
295.0,4.5884851642097945e-05
296.0,4.577931951854425e-05
297.0,4.576565076787557e-05
298.0,4.571567764276622e-05
299.0,4.561455155008483e-05
300.0,4.560546191755854e-05
301.0,4.554738643471263e-05
302.0,4.5448922968544883e-05
303.0,4.543495771292022e-05
304.0,4.537817430913424e-05
305.0,4.5283992487015376e-05
306.0,4.527278316096259e-05
307.0,4.5217074024610454e-05
308.0,4.512263793676412e-05
309.0,4.511008862334632e-05
310.0,4.505732145032063e-05
311.0,4.4961981774660123e-05
312.0,4.495522910835458e-05
313.0,4.4898632701997554e-05
314.0,4.4806245354987166e-05
315.0,4.4795839586800156e-05
316.0,4.473510464400255e-05
317.0,4.464304721440723e-05
318.0,4.4635891275532465e-05
319.0,4.457463928227884e-05
320.0,4.448936989280493e-05
321.0,4.4487845557317295e-05
322.0,4.44251601454699e-05
323.0,4.4342273090247203e-05
324.0,4.4336671257788066e-05
325.0,4.4276665079362325e-05
326.0,4.4193820353448206e-05
327.0,4.419969871922145e-05
328.0,4.41373865733923e-05
329.0,4.4063046003500896e-05
330.0,4.406565469085015e-05
331.0,4.400418438340322e-05
332.0,4.3938811243280355e-05
333.0,4.3946197607784366e-05
334.0,4.389076674574058e-05
335.0,4.382756048709577e-05
336.0,4.3832321811218024e-05
337.0,4.377529348406239e-05
338.0,4.370444278609455e-05
339.0,4.370883243894954e-05
340.0,4.36484312122966e-05
341.0,4.3575639348542264e-05
342.0,4.3578675097421076e-05
343.0,4.3514723441253474e-05
344.0,4.344726803211325e-05
345.0,4.3454919011092765e-05
346.0,4.3385687128842945e-05
347.0,4.332363152100145e-05
348.0,4.332437631795976e-05
349.0,4.325707305289627e-05
350.0,4.319498296406165e-05
351.0,4.319636769826655e-05
352.0,4.313021636112791e-05
353.0,4.30713115684753e-05
354.0,4.30741879171473e-05
355.0,4.301011591105494e-05
356.0,4.295094424883486e-05
357.0,4.295471101075234e-05
358.0,4.288830941389487e-05
359.0,4.28298015280158e-05
360.0,4.283620330535177e-05
361.0,4.277066249327793e-05
362.0,4.271370974532781e-05
363.0,4.2717032537508445e-05
364.0,4.2650385263873816e-05
365.0,4.259039581469419e-05
366.0,4.2593264258347806e-05
367.0,4.251846556236689e-05
368.0,4.2454523082511425e-05
369.0,4.245864801927703e-05
370.0,4.23818732620424e-05
371.0,4.232391571013739e-05
372.0,4.232699955314367e-05
373.0,4.225419486212014e-05
374.0,4.219719028664899e-05
375.0,4.219973204479582e-05
376.0,4.2127779631107026e-05
377.0,4.207084624257441e-05
378.0,4.2072034433996724e-05
379.0,4.199528620703486e-05
380.0,4.193252590402664e-05
381.0,4.192897324469229e-05
382.0,4.184772668422143e-05
383.0,4.1788579099278e-05
384.0,4.178766635287595e-05
385.0,4.1709649673540175e-05
386.0,4.164943760326441e-05
387.0,4.164740526573504e-05
388.0,4.1568504853663926e-05
389.0,4.151055428204327e-05
390.0,4.151204289467888e-05
391.0,4.1433844834003165e-05
392.0,4.137815439158822e-05
393.0,4.13834220068701e-05
394.0,4.1303524440131954e-05
395.0,4.125286074226795e-05
396.0,4.125674916963494e-05
397.0,4.1178015645654895e-05
398.0,4.112832975381818e-05
399.0,4.1131032659829014e-05
400.0,4.1050796575032635e-05
401.0,4.1001283648225285e-05
402.0,4.1000503066245406e-05
403.0,4.0924313615093086e-05
404.0,4.087412628984542e-05
405.0,4.087379917138741e-05
406.0,4.0792530909228064e-05
407.0,4.0743270521874934e-05
408.0,4.073697355332712e-05
409.0,4.065936880251064e-05
410.0,4.060736994680069e-05
411.0,4.0603557636015133e-05
412.0,4.0525844756112015e-05
413.0,4.0473852224630706e-05
414.0,4.0473415301443826e-05
415.0,4.0395091020248266e-05
416.0,4.034492731019727e-05
417.0,4.034430368057614e-05
418.0,4.026352362244409e-05
419.0,4.021703530400587e-05
420.0,4.0215627201412856e-05
421.0,4.013738196082273e-05
422.0,4.0094580703105217e-05
423.0,4.0092923940190166e-05
424.0,4.001477493292754e-05
425.0,3.996868403265246e-05
426.0,3.996613227600892e-05
427.0,3.9887528762220484e-05
428.0,3.984358639488563e-05
429.0,3.9838613781401105e-05
430.0,3.9765197276807855e-05
431.0,3.9717355965180285e-05
432.0,3.9712107226822224e-05
433.0,3.9635026990145405e-05
434.0,3.9588465611666825e-05
