Tau,Adev
1.0,0.0007541171920560026
2.0,0.0005166408494536352
3.0,0.00042355095694690553
4.0,0.00036575646491159795
5.0,0.0003266632246725832
6.0,0.0002977508332908021
7.0,0.0002756862675045751
8.0,0.00025703424056498986
9.0,0.00024136676268853247
10.0,0.00022818111492738067
11.0,0.00021684215131894841
12.0,0.00020708140367490074
13.0,0.00019857096043543427
14.0,0.00019131868006924427
15.0,0.00018463518923119874
16.0,0.00017883164202780558
17.0,0.00017335945066663944
18.0,0.00016827968060415677
19.0,0.0001636470703333479
20.0,0.00015942577434080246
21.0,0.00015557292229570482
22.0,0.00015196571760838675
23.0,0.00014847659067602912
24.0,0.00014530288209881084
25.0,0.00014235186286912162
26.0,0.00013960040102268387
27.0,0.00013695315508218626
28.0,0.00013448393289182764
29.0,0.0001320425331070136
30.0,0.00012984312549651822
31.0,0.00012768520115595658
32.0,0.0001256214332994375
33.0,0.00012373159806174742
34.0,0.00012192299122335129
35.0,0.00012015493379094533
36.0,0.00011844998560826254
37.0,0.00011680309955619441
38.0,0.00011521806881904617
39.0,0.00011376154018959357
40.0,0.00011233269246608555
41.0,0.00011093629396578891
42.0,0.00010959807896091638
43.0,0.00010834332585009992
44.0,0.00010718824847413723
45.0,0.0001061343079312211
46.0,0.00010508240291194885
47.0,0.00010404069701509985
48.0,0.0001030432068609765
49.0,0.00010212267979821438
50.0,0.0001012950582377293
51.0,0.00010045705330792687
52.0,9.965021885228045e-05
53.0,9.880680552142485e-05
54.0,9.798485220589039e-05
55.0,9.723812024165378e-05
56.0,9.648111515940286e-05
57.0,9.575785197509457e-05
58.0,9.502397793079886e-05
59.0,9.429561277696231e-05
60.0,9.36045107188255e-05
61.0,9.291138273278891e-05
62.0,9.226256031316077e-05
63.0,9.164094244806323e-05
64.0,9.100540342712854e-05
65.0,9.03514711728929e-05
66.0,8.968815736927593e-05
67.0,8.90701172470075e-05
68.0,8.847582047934257e-05
69.0,8.79037375024154e-05
70.0,8.733329272304967e-05
71.0,8.676854972411597e-05
72.0,8.62154445767508e-05
73.0,8.570483123127636e-05
74.0,8.51701243508272e-05
75.0,8.465056533093194e-05
76.0,8.412854131528339e-05
77.0,8.360101997115877e-05
78.0,8.308840611198145e-05
79.0,8.258523631363357e-05
80.0,8.209619507880249e-05
81.0,8.163685008268608e-05
82.0,8.119980473644269e-05
83.0,8.073418697259137e-05
84.0,8.026618916983257e-05
85.0,7.981543702423208e-05
86.0,7.936574634002267e-05
87.0,7.892738540378355e-05
88.0,7.847812994803182e-05
89.0,7.801317017937505e-05
90.0,7.755817645387054e-05
91.0,7.712210575205041e-05
92.0,7.668158046428571e-05
93.0,7.623894791254567e-05
94.0,7.581254379629388e-05
95.0,7.538155579171554e-05
96.0,7.496851950091732e-05
97.0,7.455529807856732e-05
98.0,7.411924094745261e-05
99.0,7.368778525635453e-05
100.0,7.325718398097163e-05
101.0,7.283540368745386e-05
102.0,7.240813715226718e-05
103.0,7.199167009211817e-05
104.0,7.15815774058543e-05
105.0,7.118662903015174e-05
106.0,7.081433400010252e-05
107.0,7.044053316069595e-05
108.0,7.008287618742434e-05
109.0,6.972724711966645e-05
110.0,6.936037346518151e-05
111.0,6.901041998128198e-05
112.0,6.865678770962412e-05
113.0,6.83152843830143e-05
114.0,6.799328812270873e-05
115.0,6.769858140621157e-05
116.0,6.740615820185977e-05
117.0,6.711594008271539e-05
118.0,6.68258899858858e-05
119.0,6.652342368759542e-05
120.0,6.62303348505629e-05
121.0,6.593993548145187e-05
122.0,6.564673064656333e-05
123.0,6.536454792958328e-05
124.0,6.509842707264897e-05
125.0,6.482389076733615e-05
126.0,6.455256959388348e-05
127.0,6.42860279664105e-05
128.0,6.402034821106202e-05
129.0,6.375396023490626e-05
130.0,6.34935788557042e-05
131.0,6.321583347335274e-05
132.0,6.294987593625134e-05
133.0,6.268695389983792e-05
134.0,6.243083882985536e-05
135.0,6.218490986219696e-05
136.0,6.193877930084631e-05
137.0,6.170186478029468e-05
138.0,6.147821015841392e-05
139.0,6.12589880358177e-05
140.0,6.103933488568836e-05
141.0,6.082038222281306e-05
142.0,6.060796463402416e-05
143.0,6.040244341131434e-05
144.0,6.019262119210894e-05
145.0,5.998730239857777e-05
146.0,5.978770765721952e-05
147.0,5.960114012334079e-05
148.0,5.941652637179733e-05
149.0,5.923282093441746e-05
150.0,5.9030508711292785e-05
151.0,5.8835190329672977e-05
152.0,5.8649693167062134e-05
153.0,5.847015245179341e-05
154.0,5.8303405554584944e-05
155.0,5.813681996150907e-05
156.0,5.796423255031816e-05
157.0,5.7796334882160183e-05
158.0,5.763025059457121e-05
159.0,5.746353624810839e-05
160.0,5.730311025495799e-05
161.0,5.7140098424352495e-05
162.0,5.697847445465086e-05
163.0,5.681643617421264e-05
164.0,5.664934955026864e-05
165.0,5.649036501653375e-05
166.0,5.6333945597351076e-05
167.0,5.616865097164001e-05
168.0,5.6006921442744926e-05
169.0,5.584053546435745e-05
170.0,5.567520042982047e-05
171.0,5.551245962491975e-05
172.0,5.536268767388192e-05
173.0,5.521287089157929e-05
174.0,5.50626758582961e-05
175.0,5.491993385771904e-05
176.0,5.477003339122574e-05
