seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read,fix_quality
1,1711243159.7886937,GPS1_Frame,41.972993333333335,-87.90014333333333,193.1,425420.42738088674,4647169.52800823,16,T,1.1,"$GPGGA,184334.000,4158.3796,N,08754.0086,W,1,07,1.1,193.1,M,-34.1,M,,0000*62",
2,1711243160.3908823,GPS1_Frame,41.972993333333335,-87.90014333333333,193.1,425420.42738088674,4647169.52800823,16,T,1.1,"$GPGGA,184335.000,4158.3796,N,08754.0086,W,1,07,1.1,193.1,M,-34.1,M,,0000*63",
3,1711243160.9934971,GPS1_Frame,41.972991666666665,-87.90014333333333,193.3,425420.4254364369,4647169.342958559,16,T,1.1,"$GPGGA,184336.000,4158.3795,N,08754.0086,W,1,07,1.1,193.3,M,-34.1,M,,0000*61",
4,1711243162.1970456,GPS1_Frame,41.97299,-87.90014166666667,193.4,425420.5615815442,4647169.156457885,16,T,1.1,"$GPGGA,184336.000,4158.3794,N,08754.0085,W,1,07,1.1,193.4,M,-34.1,M,,0000*64",
5,1711243162.7996209,GPS1_Frame,41.972986666666664,-87.90014166666667,193.6,425420.5576926521,4647168.786358541,16,T,1.1,"$GPGGA,184337.000,4158.3792,N,08754.0085,W,1,07,1.1,193.6,M,-34.1,M,,0000*61",
6,1711243163.4019828,GPS1_Frame,41.972985,-87.90014166666667,193.8,425420.55574820616,4647168.601308872,16,T,1.1,"$GPGGA,184338.000,4158.3791,N,08754.0085,W,1,07,1.1,193.8,M,-34.1,M,,0000*63",
7,1711243164.005868,GPS1_Frame,41.97298333333333,-87.90014166666667,193.9,425420.55380376027,4647168.416259201,16,T,1.1,"$GPGGA,184339.000,4158.3790,N,08754.0085,W,1,07,1.1,193.9,M,-34.1,M,,0000*62",
8,1711243164.6075249,GPS1_Frame,41.97298166666667,-87.90014,194.1,425420.68994888954,4647168.229758528,16,T,1.1,"$GPGGA,184340.000,4158.3789,N,08754.0084,W,1,07,1.1,194.1,M,-34.1,M,,0000*6A",
9,1711243165.8099744,GPS1_Frame,41.97298,-87.90014,194.3,425420.6880044473,4647168.044708857,16,T,1.1,"$GPGGA,184341.000,4158.3788,N,08754.0084,W,1,07,1.1,194.3,M,-34.1,M,,0000*68",
10,1711243166.4116175,GPS1_Frame,41.97297833333333,-87.90014,194.4,425420.6860600052,4647167.8596591875,16,T,1.1,"$GPGGA,184342.000,4158.3787,N,08754.0084,W,1,07,1.1,194.4,M,-34.1,M,,0000*63",
11,1711243167.0150945,GPS1_Frame,41.97297666666667,-87.90014,194.6,425420.68411556317,4647167.674609517,16,T,1.1,"$GPGGA,184343.000,4158.3786,N,08754.0084,W,1,07,1.1,194.6,M,-34.1,M,,0000*61",
12,1711243167.6176496,GPS1_Frame,41.972975,-87.90013833333333,194.7,425420.82026070857,4647167.488108846,16,T,1.1,"$GPGGA,184344.000,4158.3785,N,08754.0083,W,1,07,1.1,194.7,M,-34.1,M,,0000*63",
13,1711243168.218505,GPS1_Frame,41.972973333333336,-87.90013833333333,194.9,425420.81831627025,4647167.303059176,16,T,1.1,"$GPGGA,184345.000,4158.3784,N,08754.0083,W,1,07,1.1,194.9,M,-34.1,M,,0000*6D",
14,1711243169.4228792,GPS1_Frame,41.972971666666666,-87.90013833333333,195.0,425420.81637183204,4647167.118009505,16,T,1.1,"$GPGGA,184346.000,4158.3783,N,08754.0083,W,1,07,1.1,195.0,M,-34.1,M,,0000*61",
15,1711243170.0265255,GPS1_Frame,41.97297,-87.90013833333333,195.2,425420.81442739384,4647166.932959835,16,T,1.1,"$GPGGA,184347.000,4158.3782,N,08754.0083,W,1,07,1.1,195.2,M,-34.1,M,,0000*63",
16,1711243170.6316519,GPS1_Frame,41.97297,-87.90013833333333,195.2,425420.81442739384,4647166.932959835,16,T,1.1,"$GPGGA,184348.000,4158.3782,N,08754.0083,W,1,07,1.1,195.2,M,-34.1,M,,0000*6C",
17,1711243171.2341092,GPS1_Frame,41.97297,-87.90013833333333,195.3,425420.81442739384,4647166.932959835,16,T,1.1,"$GPGGA,184349.000,4158.3782,N,08754.0083,W,1,07,1.1,195.3,M,-34.1,M,,0000*6C",
18,1711243171.8366396,GPS1_Frame,41.972968333333334,-87.90013833333333,195.3,425420.8124829557,4647166.747910165,16,T,1.1,"$GPGGA,184350.000,4158.3781,N,08754.0083,W,1,07,1.1,195.3,M,-34.1,M,,0000*67",
19,1711243173.0326397,GPS1_Frame,41.972968333333334,-87.90013833333333,195.4,425420.8124829557,4647166.747910165,16,T,1.1,"$GPGGA,184351.000,4158.3781,N,08754.0083,W,1,07,1.1,195.4,M,-34.1,M,,0000*61",
20,1711243173.6356902,GPS1_Frame,41.972968333333334,-87.90013666666667,195.4,425420.95057255746,4647166.746459168,16,T,1.1,"$GPGGA,184352.000,4158.3781,N,08754.0082,W,1,07,1.1,195.4,M,-34.1,M,,0000*63",
21,1711243174.244991,GPS1_Frame,41.972968333333334,-87.90013666666667,195.4,425420.95057255746,4647166.746459168,16,T,1.1,"$GPGGA,184353.000,4158.3781,N,08754.0082,W,1,07,1.1,195.4,M,-34.1,M,,0000*62",
22,1711243174.8376956,GPS1_Frame,41.972966666666665,-87.90013666666667,195.5,425420.948628123,4647166.561409499,16,T,1.1,"$GPGGA,184354.000,4158.3780,N,08754.0082,W,1,07,1.1,195.5,M,-34.1,M,,0000*65",
23,1711243175.4399674,GPS1_Frame,41.972966666666665,-87.90013666666667,195.5,425420.948628123,4647166.561409499,16,T,1.1,"$GPGGA,184355.000,4158.3780,N,08754.0082,W,1,07,1.1,195.5,M,-34.1,M,,0000*64",
24,1711243176.647065,GPS1_Frame,41.972966666666665,-87.90013666666667,195.6,425420.948628123,4647166.561409499,16,T,1.1,"$GPGGA,184356.000,4158.3780,N,08754.0082,W,1,07,1.1,195.6,M,-34.1,M,,0000*64",
25,1711243177.2506723,GPS1_Frame,41.972966666666665,-87.90013666666667,195.6,425420.948628123,4647166.561409499,16,T,1.1,"$GPGGA,184357.000,4158.3780,N,08754.0082,W,1,07,1.1,195.6,M,-34.1,M,,0000*65",
26,1711243177.85281,GPS1_Frame,41.972965,-87.90013666666667,195.6,425420.9466836886,4647166.376359829,16,T,1.1,"$GPGGA,184358.000,4158.3779,N,08754.0082,W,1,07,1.1,195.6,M,-34.1,M,,0000*6C",
27,1711243178.4593055,GPS1_Frame,41.972965,-87.90013666666667,195.7,425420.9466836886,4647166.376359829,16,T,1.1,"$GPGGA,184359.000,4158.3779,N,08754.0082,W,1,07,1.1,195.7,M,-34.1,M,,0000*6C",
28,1711243179.0602107,GPS1_Frame,41.972965,-87.90013666666667,195.7,425420.9466836886,4647166.376359829,16,T,1.1,"$GPGGA,184400.000,4158.3779,N,08754.0082,W,1,07,1.1,195.7,M,-34.1,M,,0000*67",
29,1711243180.2639925,GPS1_Frame,41.972965,-87.90013666666667,195.8,425420.9466836886,4647166.376359829,16,T,1.1,"$GPGGA,184401.000,4158.3779,N,08754.0082,W,1,07,1.1,195.8,M,-34.1,M,,0000*69",
30,1711243180.8675218,GPS1_Frame,41.97296333333333,-87.90013666666667,195.8,425420.9447392543,4647166.191310159,16,T,1.1,"$GPGGA,184402.000,4158.3778,N,08754.0082,W,1,07,1.1,195.8,M,-34.1,M,,0000*6B",
