seq,stamp,elapsed_time,yaw,pitch,roll,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1,1711294276.4478712,0,-114.852,-21.907,149.67,-0.2299,-0.558,-1.4022,-3.647,-4.539,7.745,-0.00052,-0.000504,-0.001027
2,1711294276.4727733,0.0249021053314209,-114.855,-21.909,149.673,-0.2289,-0.5561,-1.4,-3.643,-4.552,7.803,0.00242,0.000369,-0.000111
3,1711294276.5030355,0.055164337158203125,-114.856,-21.907,149.672,-0.2299,-0.557,-1.4023,-3.629,-4.558,7.808,-0.002921,-0.000209,0.000339
4,1711294276.5225313,0.07466006278991699,-114.855,-21.905,149.671,-0.2309,-0.562,-1.4034,-3.593,-4.579,7.77,0.000731,-1.4e-05,-0.000505
5,1711294276.5475454,0.09967422485351562,-114.856,-21.906,149.671,-0.2327,-0.5619,-1.4024,-3.642,-4.55,7.79,0.00162,0.000238,0.001082
6,1711294276.5727677,0.12489652633666992,-114.857,-21.91,149.675,-0.2309,-0.5649,-1.4022,-3.661,-4.521,7.784,0.000457,0.000448,-0.000832
7,1711294276.5975714,0.14970016479492188,-114.856,-21.909,149.673,-0.2299,-0.562,-1.4,-3.599,-4.58,7.778,-0.005952,-0.001373,-0.002919
8,1711294276.6224952,0.17462396621704102,-114.852,-21.907,149.667,-0.2318,-0.56,-1.4001,-3.598,-4.555,7.764,-0.000329,0.000663,-0.000267
9,1711294276.6475666,0.19969534873962402,-114.853,-21.906,149.672,-0.2308,-0.56,-1.4023,-3.635,-4.546,7.786,0.004247,0.000921,0.001188
10,1711294276.6732144,0.2253432273864746,-114.853,-21.909,149.674,-0.2309,-0.564,-1.3989,-3.645,-4.542,7.784,-0.00035,0.000304,0.000181
11,1711294276.6983836,0.25051236152648926,-114.852,-21.912,149.673,-0.228,-0.5581,-1.4021,-3.644,-4.519,7.782,-0.001535,0.001686,-0.000287
12,1711294276.7226682,0.2747969627380371,-114.851,-21.912,149.672,-0.2299,-0.561,-1.4033,-3.617,-4.55,7.765,0.000999,-9.7e-05,-0.000396
13,1711294276.747535,0.299663782119751,-114.85,-21.911,149.671,-0.2308,-0.558,-1.4034,-3.602,-4.57,7.78,0.002016,0.000121,-0.000288
14,1711294276.7732673,0.3253960609436035,-114.849,-21.91,149.67,-0.228,-0.5581,-1.3999,-3.629,-4.552,7.773,0.000443,0.000921,0.000406
15,1711294276.7979248,0.3500535488128662,-114.848,-21.914,149.673,-0.2299,-0.559,-1.4033,-3.651,-4.529,7.781,0.000643,0.001062,0.000711
