seq,stamp,elapsed_time,yaw,pitch,roll,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
510,1711305164.0044553,0,6.584,0.537,-4.548,0.316,0.0714,-0.1213,0.103,0.768,-10.06,-5.6e-05,0.000241,0.000602
511,1711305164.0277927,0.023337364196777344,6.585,0.537,-4.549,0.3179,0.0743,-0.1157,0.081,0.883,-9.926,-0.001222,-0.000242,0.000306
512,1711305164.053051,0.04859566688537598,6.585,0.537,-4.548,0.3178,0.0703,-0.1157,0.103,0.736,-10.077,-0.000585,-0.000332,-0.000804
513,1711305164.077402,0.07294678688049316,6.586,0.537,-4.549,0.3188,0.0763,-0.1179,0.112,0.808,-10.063,-3.3e-05,0.000602,8.2e-05
514,1711305164.102589,0.09813356399536133,6.586,0.536,-4.55,0.3179,0.0733,-0.1179,0.093,0.87,-9.915,-0.000898,-0.00121,0.000642
515,1711305164.1275117,0.12305641174316406,6.588,0.536,-4.549,0.316,0.0734,-0.1235,0.126,0.745,-10.065,-0.001809,-0.000384,-0.000617
516,1711305164.1527343,0.14827895164489746,6.589,0.537,-4.548,0.3188,0.0743,-0.1135,0.122,0.733,-10.054,0.001408,0.00057,0.001058
517,1711305164.1776657,0.17321038246154785,6.591,0.535,-4.548,0.3197,0.0703,-0.1254,0.094,0.917,-9.966,-0.001099,-0.000862,0.000665
518,1711305164.2061012,0.2016458511352539,6.592,0.536,-4.547,0.3188,0.0743,-0.1178,0.106,0.717,-10.072,0.000319,0.000333,0.000275
519,1711305164.227582,0.22312664985656738,6.591,0.536,-4.546,0.3161,0.0753,-0.1147,0.106,0.755,-10.014,0.000213,3.4e-05,-0.000407
520,1711305164.2523265,0.24787116050720215,6.585,0.536,-4.547,0.3179,0.0773,-0.1201,0.094,0.911,-9.957,-0.000155,0.000338,-0.000658
521,1711305164.2776933,0.273237943649292,6.587,0.536,-4.546,0.3169,0.0714,-0.1201,0.118,0.715,-10.037,-0.002177,0.000151,-0.000646
522,1711305164.302526,0.29807066917419434,6.588,0.536,-4.545,0.3152,0.0773,-0.1192,0.092,0.744,-10.057,0.000872,-0.000553,-0.000805
523,1711305164.3271117,0.32265639305114746,6.588,0.536,-4.545,0.316,0.0714,-0.118,0.076,0.932,-9.963,-3e-05,-0.001519,0.000452
524,1711305164.3520877,0.34763240814208984,6.59,0.536,-4.545,0.3169,0.0714,-0.1146,0.088,0.723,-9.975,0.000186,0.000841,-9.3e-05
525,1711305164.377975,0.3735196590423584,6.59,0.536,-4.545,0.3169,0.0704,-0.1234,0.076,0.779,-10.037,-0.000582,0.001035,-0.00075
526,1711305164.4020836,0.3976283073425293,6.592,0.536,-4.547,0.316,0.0724,-0.1202,0.086,0.877,-9.962,0.000302,-0.001433,-0.000331
527,1711305164.427029,0.4225735664367676,6.593,0.537,-4.547,0.3179,0.0733,-0.119,0.117,0.777,-10.067,-0.002827,0.000334,0.000209
528,1711305164.451975,0.44751977920532227,6.593,0.536,-4.548,0.3169,0.0704,-0.1135,0.096,0.789,-10.068,0.00056,-0.000229,0.00098
529,1711305164.476935,0.47247958183288574,6.595,0.537,-4.548,0.316,0.0694,-0.1147,0.076,0.888,-9.929,-0.000591,-0.000265,0.000644
530,1711305164.504142,0.49968671798706055,6.595,0.536,-4.547,0.3178,0.0684,-0.1189,0.131,0.719,-10.032,-0.000521,0.000754,-0.00169
531,1711305164.527274,0.5228185653686523,6.598,0.536,-4.548,0.3171,0.0813,-0.1158,0.089,0.742,-10.05,0.000873,-0.000103,0.00136
