seq,stamp,elapsed_time,yaw,pitch,roll,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
13322,1711303746.5309517,0,1.625,0.537,-3.61,0.368,0.0938,-0.048,0.05,0.715,-9.885,-0.00309,0.0002,0.000486
13323,1711303746.555727,0.024775266647338867,1.626,0.536,-3.607,0.368,0.0899,-0.0491,0.071,0.684,-9.933,0.003189,-0.00145,0.000732
13324,1711303746.580463,0.04951119422912598,1.628,0.534,-3.61,0.3616,0.093,-0.0572,0.118,0.717,-10.007,-0.006377,-0.000169,0.001806
13325,1711303746.6055467,0.07459497451782227,1.629,0.536,-3.609,0.3533,0.0952,-0.0665,0.082,0.715,-9.737,0.00096,0.000821,0.001706
13326,1711303746.6306727,0.09972095489501953,1.629,0.538,-3.61,0.3477,0.0924,-0.0745,0.079,0.582,-9.888,0.004073,0.001538,0.000313
13327,1711303746.6558344,0.12488269805908203,1.632,0.538,-3.61,0.3431,0.0905,-0.077,0.092,0.645,-9.992,-0.00075,-0.000103,0.000342
13328,1711303746.680656,0.1497042179107666,1.633,0.536,-3.609,0.3458,0.0914,-0.079,0.107,0.682,-9.897,0.003333,-0.001882,0.000545
13329,1711303746.7056453,0.17469358444213867,1.635,0.534,-3.609,0.3541,0.0892,-0.0763,-0.022,0.603,-9.81,-6.7e-05,-0.00046,0.002217
13330,1711303746.7306798,0.19972801208496094,1.637,0.534,-3.609,0.3551,0.0932,-0.0675,0.131,0.508,-9.921,0.002355,0.000293,8.6e-05
13331,1711303746.7568762,0.22592449188232422,1.637,0.537,-3.612,0.3496,0.0933,-0.0733,0.151,0.661,-10.075,-0.004071,0.00196,-0.000119
13332,1711303746.7809467,0.24999499320983887,1.637,0.539,-3.61,0.3458,0.0904,-0.079,0.042,0.778,-9.808,-0.001404,0.000118,0.000487
13333,1711303746.8054647,0.27451300621032715,1.638,0.542,-3.61,0.3414,0.1024,-0.0849,0.108,0.6,-9.853,0.003451,0.001059,-0.000303
13334,1711303746.8301728,0.2992210388183594,1.638,0.541,-3.608,0.3468,0.0904,-0.0823,0.153,0.618,-10.018,-0.001415,-0.002551,-0.000946
