seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read,fix_quality
1,1706726334.0,GPS1_Frame,41.97394,-87.90032,107.1,425406.8945632493,4647274.79005217,16,T,1.9,"$GPGGA,183854.000,4158.4364,N,08754.0192,W,1,06,1.9,107.1,M,-34.1,M,,0000*66",
2,1706726335.0,GPS1_Frame,41.97393,-87.90031833333333,108.0,425407.02098156966,4647273.678302663,16,T,1.9,"$GPGGA,183855.000,4158.4358,N,08754.0191,W,1,06,1.9,108.0,M,-34.1,M,,0000*65",
3,1706726336.0,GPS1_Frame,41.97392166666667,-87.90031666666667,108.8,425407.14934479515,4647272.751602866,16,T,1.9,"$GPGGA,183856.000,4158.4353,N,08754.0190,W,1,06,1.9,108.8,M,-34.1,M,,0000*64",
4,1706726337.0,GPS1_Frame,41.973905,-87.900315,110.3,425407.2679837824,4647270.899654565,16,T,1.9,"$GPGGA,183857.000,4158.4343,N,08754.0189,W,1,06,1.9,110.3,M,-34.1,M,,0000*6E",
5,1706726338.0,GPS1_Frame,41.973888333333335,-87.90031166666667,111.7,425407.52471046057,4647269.04625499,16,T,1.9,"$GPGGA,183858.000,4158.4333,N,08754.0187,W,1,06,1.9,111.7,M,-34.1,M,,0000*6D",
6,1706726339.0,GPS1_Frame,41.97387333333333,-87.90030833333333,113.1,425407.7833821331,4647267.377905129,16,T,1.9,"$GPGGA,183859.000,4158.4324,N,08754.0185,W,1,06,1.9,113.1,M,-34.1,M,,0000*6C",
7,1706726340.0,GPS1_Frame,41.97385833333333,-87.90030666666667,114.4,425407.90396625455,4647265.711006559,16,T,1.9,"$GPGGA,183900.000,4158.4315,N,08754.0184,W,1,06,1.9,114.4,M,-34.1,M,,0000*60",
8,1706726341.0,GPS1_Frame,41.973845,-87.900305,115.6,425408.0264952817,4647264.229157695,16,T,1.9,"$GPGGA,183901.000,4158.4307,N,08754.0183,W,1,06,1.9,115.6,M,-34.1,M,,0000*66",
9,1706726342.0,GPS1_Frame,41.97383166666667,-87.90030166666666,116.8,425408.2871121076,4647262.745857569,16,T,1.9,"$GPGGA,183902.000,4158.4299,N,08754.0181,W,1,06,1.9,116.8,M,-34.1,M,,0000*6C",
10,1706726343.0,GPS1_Frame,41.973816666666664,-87.9003,118.1,425408.4076964651,4647261.078959021,16,T,1.9,"$GPGGA,183903.000,4158.4290,N,08754.0180,W,1,06,1.9,118.1,M,-34.1,M,,0000*62",
11,1706726344.0,GPS1_Frame,41.973803333333336,-87.90029666666666,119.3,425408.6683135085,4647259.59565892,16,T,1.9,"$GPGGA,183904.000,4158.4282,N,08754.0178,W,1,06,1.9,119.3,M,-34.1,M,,0000*62",
12,1706726345.0,GPS1_Frame,41.97379,-87.900295,120.5,425408.7908428419,4647258.113810085,16,T,1.9,"$GPGGA,183905.000,4158.4274,N,08754.0177,W,1,06,1.9,120.5,M,-34.1,M,,0000*69",
13,1706726346.0,GPS1_Frame,41.973778333333335,-87.90029333333334,121.6,425408.9153170429,4647256.817010953,16,T,1.9,"$GPGGA,183906.000,4158.4267,N,08754.0176,W,1,06,1.9,121.6,M,-34.1,M,,0000*6B",
14,1706726347.0,GPS1_Frame,41.97376666666667,-87.90029166666666,122.7,425409.0397912974,4647255.520211827,16,T,1.9,"$GPGGA,183907.000,4158.4260,N,08754.0175,W,1,06,1.9,122.7,M,-34.1,M,,0000*6C",
15,1706726348.0,GPS1_Frame,41.973753333333335,-87.90028833333334,123.8,425409.3004087139,4647254.036911764,16,T,1.9,"$GPGGA,183908.000,4158.4252,N,08754.0173,W,1,06,1.9,123.8,M,-34.1,M,,0000*6A",
16,1706726349.0,GPS1_Frame,41.97374166666667,-87.90028666666667,124.8,425409.4248831026,4647252.740112653,16,T,1.9,"$GPGGA,183909.000,4158.4245,N,08754.0172,W,1,06,1.9,124.8,M,-34.1,M,,0000*6B",
17,1706726350.0,GPS1_Frame,41.973731666666666,-87.900285,125.9,425409.55130233086,4647251.6283632405,16,T,1.9,"$GPGGA,183910.000,4158.4239,N,08754.0171,W,1,06,1.9,125.9,M,-34.1,M,,0000*6B",
