seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
22,1706629984.0,GPS1_Frame,42.34026166666666,-71.090815,-11.9,327765.5969221628,4689673.318684096,19,T,3.4,"$GPGGA,155304.000,4220.4157,N,07105.4489,W,1,04,3.4,-11.9,M,-33.8,M,,0000*7B"
23,1706629985.0,GPS1_Frame,42.34026166666666,-71.090815,-11.8,327765.5969221628,4689673.318684096,19,T,3.4,"$GPGGA,155305.000,4220.4157,N,07105.4489,W,1,04,3.4,-11.8,M,-33.8,M,,0000*7B"
24,1706629986.0,GPS1_Frame,42.34026166666666,-71.090815,-11.8,327765.5969221628,4689673.318684096,19,T,3.4,"$GPGGA,155306.000,4220.4157,N,07105.4489,W,1,04,3.4,-11.8,M,-33.8,M,,0000*78"
25,1706629987.0,GPS1_Frame,42.34026333333333,-71.090815,-11.7,327765.6014729134,4689673.5037548365,19,T,3.4,"$GPGGA,155307.000,4220.4158,N,07105.4489,W,1,04,3.4,-11.7,M,-33.8,M,,0000*79"
26,1706629988.0,GPS1_Frame,42.34026333333333,-71.090815,-11.7,327765.6014729134,4689673.5037548365,19,T,3.4,"$GPGGA,155308.000,4220.4158,N,07105.4489,W,1,04,3.4,-11.7,M,-33.8,M,,0000*76"
27,1706629989.0,GPS1_Frame,42.34026333333333,-71.090815,-11.7,327765.6014729134,4689673.5037548365,19,T,3.4,"$GPGGA,155309.000,4220.4158,N,07105.4489,W,1,04,3.4,-11.7,M,-33.8,M,,0000*77"
28,1706629990.0,GPS1_Frame,42.34026333333333,-71.090815,-11.6,327765.6014729134,4689673.5037548365,19,T,3.4,"$GPGGA,155310.000,4220.4158,N,07105.4489,W,1,04,3.4,-11.6,M,-33.8,M,,0000*7E"
29,1706629991.0,GPS1_Frame,42.34026333333333,-71.090815,-11.6,327765.6014729134,4689673.5037548365,19,T,3.4,"$GPGGA,155311.000,4220.4158,N,07105.4489,W,1,04,3.4,-11.6,M,-33.8,M,,0000*7F"
30,1706629992.0,GPS1_Frame,42.34026333333333,-71.090815,-11.6,327765.6014729134,4689673.5037548365,19,T,3.4,"$GPGGA,155312.000,4220.4158,N,07105.4489,W,1,04,3.4,-11.6,M,-33.8,M,,0000*7C"
31,1706629993.0,GPS1_Frame,42.34026333333333,-71.090815,-11.5,327765.6014729134,4689673.5037548365,19,T,3.4,"$GPGGA,155313.000,4220.4158,N,07105.4489,W,1,04,3.4,-11.5,M,-33.8,M,,0000*7E"
32,1706629994.0,GPS1_Frame,42.340265,-71.090815,-11.5,327765.606023664,4689673.688825574,19,T,3.4,"$GPGGA,155314.000,4220.4159,N,07105.4489,W,1,04,3.4,-11.5,M,-33.8,M,,0000*78"
33,1706629995.0,GPS1_Frame,42.340265,-71.090815,-11.5,327765.606023664,4689673.688825574,19,T,3.4,"$GPGGA,155315.000,4220.4159,N,07105.4489,W,1,04,3.4,-11.5,M,-33.8,M,,0000*79"
34,1706629996.0,GPS1_Frame,42.340265,-71.090815,-11.4,327765.606023664,4689673.688825574,19,T,3.4,"$GPGGA,155316.000,4220.4159,N,07105.4489,W,1,04,3.4,-11.4,M,-33.8,M,,0000*7B"
35,1706629997.0,GPS1_Frame,42.340265,-71.090815,-11.4,327765.606023664,4689673.688825574,19,T,3.4,"$GPGGA,155317.000,4220.4159,N,07105.4489,W,1,04,3.4,-11.4,M,-33.8,M,,0000*7A"
36,1706629998.0,GPS1_Frame,42.340265,-71.090815,-11.3,327765.606023664,4689673.688825574,19,T,3.4,"$GPGGA,155318.000,4220.4159,N,07105.4489,W,1,04,3.4,-11.3,M,-33.8,M,,0000*72"
37,1706629999.0,GPS1_Frame,42.340265,-71.090815,-11.3,327765.606023664,4689673.688825574,19,T,3.4,"$GPGGA,155319.000,4220.4159,N,07105.4489,W,1,04,3.4,-11.3,M,-33.8,M,,0000*73"
38,1706630000.0,GPS1_Frame,42.340266666666665,-71.090815,-11.3,327765.61057441484,4689673.873896312,19,T,3.4,"$GPGGA,155320.000,4220.4160,N,07105.4489,W,1,04,3.4,-11.3,M,-33.8,M,,0000*73"
39,1706630001.0,GPS1_Frame,42.340266666666665,-71.090815,-11.2,327765.61057441484,4689673.873896312,19,T,3.4,"$GPGGA,155321.000,4220.4160,N,07105.4489,W,1,04,3.4,-11.2,M,-33.8,M,,0000*73"
