seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
1,1706649406.0,GPS1_Frame,42.33859833333333,-71.08608833333334,29.1,328150.44899299333,4689479.054350713,19,T,1.3,"$GPGGA,211646.000,4220.3159,N,07105.1653,W,1,08,1.3,29.1,M,-33.8,M,,0000*55"
2,1706649407.0,GPS1_Frame,42.33859833333333,-71.086085,28.9,328150.7236006063,4689479.047613817,19,T,1.3,"$GPGGA,211647.000,4220.3159,N,07105.1651,W,1,08,1.3,28.9,M,-33.8,M,,0000*5F"
3,1706649408.0,GPS1_Frame,42.33859833333333,-71.08608666666667,28.8,328150.5862967998,4689479.050982265,19,T,1.3,"$GPGGA,211648.000,4220.3159,N,07105.1652,W,1,08,1.3,28.8,M,-33.8,M,,0000*52"
4,1706649409.0,GPS1_Frame,42.33859833333333,-71.08608833333334,29.0,328150.44899299333,4689479.054350713,19,T,1.3,"$GPGGA,211649.000,4220.3159,N,07105.1653,W,1,08,1.3,29.0,M,-33.8,M,,0000*5B"
5,1706649410.0,GPS1_Frame,42.33859833333333,-71.08608833333334,29.0,328150.44899299333,4689479.054350713,19,T,1.3,"$GPGGA,211650.000,4220.3159,N,07105.1653,W,1,08,1.3,29.0,M,-33.8,M,,0000*53"
6,1706649411.0,GPS1_Frame,42.33859666666667,-71.08609,29.0,328150.3071488789,4689478.872648528,19,T,1.3,"$GPGGA,211651.000,4220.3158,N,07105.1654,W,1,08,1.3,29.0,M,-33.8,M,,0000*54"
7,1706649412.0,GPS1_Frame,42.33859666666667,-71.086095,29.0,328149.8952374526,4689478.8827539,19,T,1.3,"$GPGGA,211652.000,4220.3158,N,07105.1657,W,1,08,1.3,29.0,M,-33.8,M,,0000*54"
8,1706649413.0,GPS1_Frame,42.338595,-71.08609666666666,29.0,328149.75339332,4689478.701051723,19,T,1.3,"$GPGGA,211653.000,4220.3157,N,07105.1658,W,1,08,1.3,29.0,M,-33.8,M,,0000*55"
9,1706649414.0,GPS1_Frame,42.338591666666666,-71.08609833333334,28.9,328149.6070088508,4689478.334278912,19,T,1.3,"$GPGGA,211654.000,4220.3155,N,07105.1659,W,1,08,1.3,28.9,M,-33.8,M,,0000*59"
10,1706649415.0,GPS1_Frame,42.33859,-71.08610166666666,28.9,328149.32786087785,4689478.155945212,19,T,1.3,"$GPGGA,211655.000,4220.3154,N,07105.1661,W,1,08,1.3,28.9,M,-33.8,M,,0000*52"
11,1706649416.0,GPS1_Frame,42.338586666666664,-71.086105,29.0,328149.0441725445,4689477.792540884,19,T,1.3,"$GPGGA,211656.000,4220.3152,N,07105.1663,W,1,08,1.3,29.0,M,-33.8,M,,0000*5D"
12,1706649417.0,GPS1_Frame,42.33858166666667,-71.08610666666667,29.1,328148.8932476792,4689477.240697447,19,T,1.3,"$GPGGA,211657.000,4220.3149,N,07105.1664,W,1,08,1.3,29.1,M,-33.8,M,,0000*50"
13,1706649418.0,GPS1_Frame,42.33858,-71.08611,29.2,328148.61409964325,4689477.0623637745,19,T,1.3,"$GPGGA,211658.000,4220.3148,N,07105.1666,W,1,08,1.3,29.2,M,-33.8,M,,0000*5F"
14,1706649419.0,GPS1_Frame,42.33857666666667,-71.086115,29.1,328148.1931073819,4689476.702327966,19,T,1.3,"$GPGGA,211659.000,4220.3146,N,07105.1669,W,1,08,1.3,29.1,M,-33.8,M,,0000*5C"
15,1706649420.0,GPS1_Frame,42.33857166666667,-71.08611833333333,29.0,328147.9048785672,4689476.153853043,19,T,1.3,"$GPGGA,211700.000,4220.3143,N,07105.1671,W,1,08,1.3,29.0,M,-33.8,M,,0000*5C"
16,1706649421.0,GPS1_Frame,42.338568333333335,-71.08612333333333,29.0,328147.48388621636,4689475.793817276,19,T,1.3,"$GPGGA,211701.000,4220.3141,N,07105.1674,W,1,08,1.3,29.0,M,-33.8,M,,0000*5A"
17,1706649422.0,GPS1_Frame,42.338565,-71.08612666666667,29.1,328147.2001976998,4689475.430413018,19,T,1.3,"$GPGGA,211702.000,4220.3139,N,07105.1676,W,1,08,1.3,29.1,M,-33.8,M,,0000*55"
18,1706649423.0,GPS1_Frame,42.33855833333333,-71.08613,29.0,328146.90742836916,4689474.696867494,19,T,1.3,"$GPGGA,211703.000,4220.3135,N,07105.1678,W,1,08,1.3,29.0,M,-33.8,M,,0000*57"
19,1706649424.0,GPS1_Frame,42.33855333333333,-71.086135,29.1,328146.481895476,4689474.1517611435,19,T,1.3,"$GPGGA,211704.000,4220.3132,N,07105.1681,W,1,08,1.3,29.1,M,-33.8,M,,0000*50"
20,1706649425.0,GPS1_Frame,42.338546666666666,-71.08614,29.1,328146.0518221064,4689473.42158418,19,T,1.6,"$GPGGA,211705.000,4220.3128,N,07105.1684,W,1,06,1.6,29.1,M,-33.8,M,,0000*54"
21,1706649426.0,GPS1_Frame,42.338543333333334,-71.086145,29.2,328145.63082949957,4689473.061548518,19,T,1.3,"$GPGGA,211706.000,4220.3126,N,07105.1687,W,1,07,1.3,29.2,M,-33.8,M,,0000*5D"
22,1706649427.0,GPS1_Frame,42.33853833333333,-71.08615,29.2,328145.20529641607,4689472.51644224,19,T,1.3,"$GPGGA,211707.000,4220.3123,N,07105.1690,W,1,08,1.3,29.2,M,-33.8,M,,0000*50"
23,1706649428.0,GPS1_Frame,42.33853166666667,-71.086155,29.1,328144.77522282256,4689471.786265352,19,T,1.3,"$GPGGA,211708.000,4220.3119,N,07105.1693,W,1,08,1.3,29.1,M,-33.8,M,,0000*56"
24,1706649429.0,GPS1_Frame,42.338521666666665,-71.08615833333333,29.0,328144.4733722062,4689470.682578646,19,T,1.6,"$GPGGA,211709.000,4220.3113,N,07105.1695,W,1,06,1.6,29.0,M,-33.8,M,,0000*51"
25,1706649430.0,GPS1_Frame,42.338515,-71.08616166666667,29.0,328144.1806024213,4689469.949033228,19,T,1.3,"$GPGGA,211710.000,4220.3109,N,07105.1697,W,1,07,1.3,29.0,M,-33.8,M,,0000*54"
26,1706649431.0,GPS1_Frame,42.33850833333333,-71.08616666666667,29.1,328143.75052858144,4689469.218856395,19,T,1.3,"$GPGGA,211711.000,4220.3105,N,07105.1700,W,1,08,1.3,29.1,M,-33.8,M,,0000*58"
27,1706649432.0,GPS1_Frame,42.3385,-71.08617166666667,29.2,328143.31591417734,4689468.303608951,19,T,1.3,"$GPGGA,211712.000,4220.3100,N,07105.1703,W,1,08,1.3,29.2,M,-33.8,M,,0000*5E"
28,1706649433.0,GPS1_Frame,42.33849166666667,-71.08617666666666,29.2,328142.88129966776,4689467.388361532,19,T,1.3,"$GPGGA,211713.000,4220.3095,N,07105.1706,W,1,08,1.3,29.2,M,-33.8,M,,0000*57"
