seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
1,1706571545.0,,41.97379,-87.900295,6.0,425408.7908428419,4647258.113810085,16,T,1.0,"$GPGGA,183905.000,4158.4274,N,08754.0177,W,1,06,1.9,120.5,M,-34.1,M,,0000*69"
2,1706571546.0,,41.973778333333335,-87.90029333333334,6.0,425408.9153170429,4647256.817010953,16,T,1.0,"$GPGGA,183906.000,4158.4267,N,08754.0176,W,1,06,1.9,121.6,M,-34.1,M,,0000*6B"
3,1706571547.0,,41.97376666666667,-87.90029166666666,6.0,425409.0397912974,4647255.520211827,16,T,1.0,"$GPGGA,183907.000,4158.4260,N,08754.0175,W,1,06,1.9,122.7,M,-34.1,M,,0000*6C"
4,1706571548.0,,41.973753333333335,-87.90028833333334,6.0,425409.3004087139,4647254.036911764,16,T,1.0,"$GPGGA,183908.000,4158.4252,N,08754.0173,W,1,06,1.9,123.8,M,-34.1,M,,0000*6A"
5,1706571549.0,,41.97374166666667,-87.90028666666667,6.0,425409.4248831026,4647252.740112653,16,T,1.0,"$GPGGA,183909.000,4158.4245,N,08754.0172,W,1,06,1.9,124.8,M,-34.1,M,,0000*6B"
6,1706571550.0,,41.973731666666666,-87.900285,6.0,425409.55130233086,4647251.6283632405,16,T,1.0,"$GPGGA,183910.000,4158.4239,N,08754.0171,W,1,06,1.9,125.9,M,-34.1,M,,0000*6B"
7,1706571551.0,,41.97372,-87.90028333333333,6.0,425409.6757768225,4647250.33156414,16,T,1.0,"$GPGGA,183911.000,4158.4232,N,08754.0170,W,1,06,1.9,126.9,M,-34.1,M,,0000*63"
8,1706571552.0,,41.973708333333335,-87.90028166666667,6.0,425409.80025136983,4647249.034765044,16,T,1.0,"$GPGGA,183912.000,4158.4225,N,08754.0169,W,1,06,1.9,127.9,M,-34.1,M,,0000*6F"
9,1706571553.0,,41.97369833333333,-87.90028,6.0,425409.9266707425,4647247.923015647,16,T,1.0,"$GPGGA,183913.000,4158.4219,N,08754.0168,W,1,06,1.9,128.8,M,-34.1,M,,0000*6E"
10,1706571554.0,,41.973686666666666,-87.90027833333333,6.0,425410.05114538857,4647246.62621656,16,T,1.0,"$GPGGA,183914.000,4158.4212,N,08754.0167,W,1,06,1.9,129.8,M,-34.1,M,,0000*6C"
11,1706571555.0,,41.97367666666667,-87.90027666666667,6.0,425410.17756485625,4647245.514467173,16,T,1.0,"$GPGGA,183915.000,4158.4206,N,08754.0166,W,1,06,1.9,130.7,M,-34.1,M,,0000*6E"
12,1706571556.0,,41.97366666666667,-87.90027333333333,6.0,425410.44207246293,4647244.401266571,16,T,1.0,"$GPGGA,183916.000,4158.4200,N,08754.0164,W,1,06,1.9,131.7,M,-34.1,M,,0000*68"
13,1706571557.0,,41.97365666666666,-87.90027166666667,6.0,425410.5684920411,4647243.289517194,16,T,1.0,"$GPGGA,183917.000,4158.4194,N,08754.0163,W,1,06,1.9,132.6,M,-34.1,M,,0000*62"
14,1706571558.0,,41.97364666666667,-87.90027,6.0,425410.69491166685,4647242.177767824,16,T,1.0,"$GPGGA,183918.000,4158.4188,N,08754.0162,W,1,06,1.9,133.4,M,-34.1,M,,0000*62"
15,1706571559.0,,41.973638333333334,-87.90027,6.0,425410.6851879257,4647241.252519363,16,T,1.0,"$GPGGA,183919.000,4158.4183,N,08754.0162,W,1,06,1.9,134.1,M,-34.1,M,,0000*6A"
