seq,stamp,elapsed_time,yaw,pitch,roll,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x_corr,mag_y_corr,mag_z_corr
1514,1711303183.22736,0,-15.739,0.672,-3.275,0.3535,0.1071,-0.104,0.107,0.545,-9.926,0.000383,0.000857,0.000568,0.211026532993509,0.0376769646876666,-0.074826853576506
1515,1711303183.25233,0.0249743461608887,-15.743,0.673,-3.275,0.3526,0.1061,-0.1018,0.131,0.562,-9.913,0.000242,-0.000397,-0.000401,0.210126532993509,0.0366769646876666,-0.072626853576506
1516,1711303183.2774,0.0500481128692627,-15.745,0.673,-3.275,0.3544,0.1051,-0.105,0.126,0.561,-9.947,-0.000586,0.000795,-8.7e-05,0.211926532993509,0.0356769646876666,-0.075826853576506
1517,1711303183.30227,0.0749137401580811,-15.744,0.673,-3.275,0.3526,0.1081,-0.1051,0.107,0.585,-9.947,-5.2e-05,-0.000545,-0.000966,0.210126532993509,0.0386769646876666,-0.075926853576506
1518,1711303183.32729,0.099931001663208,-15.745,0.673,-3.274,0.3526,0.1052,-0.1128,0.121,0.562,-9.915,0.001023,-5.2e-05,0.000217,0.210126532993509,0.0357769646876666,-0.083626853576506
1519,1711303183.35227,0.1249098777771,-15.746,0.673,-3.273,0.3517,0.1062,-0.1052,0.089,0.552,-9.944,0.00082,9.6e-05,-0,0.209226532993509,0.0367769646876666,-0.076026853576506
1520,1711303183.37724,0.149882316589355,-15.748,0.672,-3.273,0.3536,0.1071,-0.1084,0.075,0.552,-9.935,-0.00072,-0.001591,-3.4e-05,0.211126532993509,0.0376769646876666,-0.079226853576506
1521,1711303183.40288,0.175519704818726,-15.752,0.672,-3.273,0.3563,0.107,-0.1049,0.09,0.569,-9.896,-0.00012,0.000932,-0.000881,0.213826532993509,0.0375769646876666,-0.075726853576506
1522,1711303183.42723,0.199872970581055,-15.752,0.671,-3.273,0.3554,0.1041,-0.1049,0.101,0.546,-9.909,-0.000436,-0.000199,0.000272,0.212926532993509,0.0346769646876666,-0.075726853576506
1523,1711303183.45252,0.225167989730835,-15.752,0.671,-3.273,0.3536,0.1111,-0.1095,0.107,0.59,-9.938,4.1e-05,0.000374,2e-06,0.211126532993509,0.0416769646876666,-0.080326853576506
1524,1711303183.47931,0.251957178115845,-15.756,0.671,-3.273,0.3527,0.1111,-0.1085,0.119,0.562,-9.933,-0.000536,0.000481,-0.002553,0.210226532993509,0.0416769646876666,-0.079326853576506
1525,1711303183.50233,0.274974822998047,-15.758,0.671,-3.274,0.3525,0.1012,-0.104,0.11,0.582,-9.927,-0.000702,-0.000478,-0.000359,0.210026532993509,0.0317769646876666,-0.074826853576506
1526,1711303183.52724,0.299880504608154,-15.757,0.671,-3.274,0.3527,0.1111,-0.1041,0.1,0.58,-9.934,0.001205,-0.000207,-0.000765,0.210226532993509,0.0416769646876666,-0.074926853576506
1527,1711303183.55271,0.325358152389526,-15.758,0.671,-3.275,0.3545,0.1091,-0.1061,0.106,0.578,-9.947,-0.000169,0.000662,-0.00014,0.212026532993509,0.0396769646876666,-0.076926853576506
1528,1711303183.57922,0.351865530014038,-15.76,0.671,-3.276,0.3545,0.1071,-0.1028,0.11,0.579,-9.919,-0.00052,0.00022,-0.000435,0.212026532993509,0.0376769646876666,-0.073626853576506
1529,1711303183.60227,0.374911785125732,-15.762,0.669,-3.276,0.3544,0.1041,-0.105,0.092,0.576,-9.926,0.000602,-0.000635,0.000625,0.211926532993509,0.0346769646876666,-0.075826853576506
1530,1711303183.62864,0.401288509368896,-15.762,0.668,-3.276,0.3563,0.106,-0.1027,0.121,0.564,-9.933,0.001474,-0.00082,0.000778,0.213826532993509,0.0365769646876666,-0.073526853576506
1531,1711303183.65199,0.424634218215942,-15.763,0.669,-3.276,0.3526,0.1081,-0.104,0.14,0.576,-9.95,0.000683,-0.000248,0.001658,0.210126532993509,0.0386769646876666,-0.074826853576506
1532,1711303183.67708,0.449722766876221,-15.764,0.669,-3.276,0.3508,0.1082,-0.1042,0.132,0.567,-9.937,0.000384,-0.00028,-0.000476,0.208326532993509,0.0387769646876666,-0.075026853576506
