seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read,fix_quality
14,1711305164.1814485,GPS1_Frame,42.337203333333335,-71.08952,16.6,327863.9339858431,4689331.091561179,19,T,1.1,"$GPGGA,183244.000,4220.2322,N,07105.3712,W,1,09,1.1,16.6,M,-33.8,M,,0000*5A",
15,1711305165.1809819,GPS1_Frame,42.337203333333335,-71.08952,16.6,327863.9339858431,4689331.091561179,19,T,1.1,"$GPGGA,183245.000,4220.2322,N,07105.3712,W,1,09,1.1,16.6,M,-33.8,M,,0000*5B",
16,1711305166.1748488,GPS1_Frame,42.337203333333335,-71.08952,16.6,327863.9339858431,4689331.091561179,19,T,1.1,"$GPGGA,183246.000,4220.2322,N,07105.3712,W,1,09,1.1,16.6,M,-33.8,M,,0000*58",
17,1711305167.1816099,GPS1_Frame,42.337203333333335,-71.08952,16.6,327863.9339858431,4689331.091561179,19,T,1.1,"$GPGGA,183247.000,4220.2322,N,07105.3712,W,1,09,1.1,16.6,M,-33.8,M,,0000*59",
18,1711305168.181393,GPS1_Frame,42.337203333333335,-71.08952,16.6,327863.9339858431,4689331.091561179,19,T,1.1,"$GPGGA,183248.000,4220.2322,N,07105.3712,W,1,09,1.1,16.6,M,-33.8,M,,0000*56",
19,1711305169.183129,GPS1_Frame,42.337203333333335,-71.08952,16.6,327863.9339858431,4689331.091561179,19,T,1.1,"$GPGGA,183249.000,4220.2322,N,07105.3712,W,1,09,1.1,16.6,M,-33.8,M,,0000*57",
20,1711305170.1823273,GPS1_Frame,42.337203333333335,-71.08952,16.6,327863.9339858431,4689331.091561179,19,T,1.1,"$GPGGA,183250.000,4220.2322,N,07105.3712,W,1,09,1.1,16.6,M,-33.8,M,,0000*5F",
21,1711305171.1812909,GPS1_Frame,42.337203333333335,-71.08952,16.6,327863.9339858431,4689331.091561179,19,T,1.1,"$GPGGA,183251.000,4220.2322,N,07105.3712,W,1,09,1.1,16.6,M,-33.8,M,,0000*5E",
22,1711305172.1731734,GPS1_Frame,42.337203333333335,-71.08952,16.6,327863.9339858431,4689331.091561179,19,T,1.1,"$GPGGA,183252.000,4220.2322,N,07105.3712,W,1,09,1.1,16.6,M,-33.8,M,,0000*5D",
23,1711305173.182078,GPS1_Frame,42.337203333333335,-71.08952,16.6,327863.9339858431,4689331.091561179,19,T,1.1,"$GPGGA,183253.000,4220.2322,N,07105.3712,W,1,09,1.1,16.6,M,-33.8,M,,0000*5C",
24,1711305174.1832287,GPS1_Frame,42.337203333333335,-71.08952,16.6,327863.9339858431,4689331.091561179,19,T,1.1,"$GPGGA,183254.000,4220.2322,N,07105.3712,W,1,09,1.1,16.6,M,-33.8,M,,0000*5B",
25,1711305175.1821275,GPS1_Frame,42.337203333333335,-71.08952166666667,16.6,327863.7966789692,4689331.094935162,19,T,1.1,"$GPGGA,183255.000,4220.2322,N,07105.3713,W,1,09,1.1,16.6,M,-33.8,M,,0000*5B",
26,1711305176.1823018,GPS1_Frame,42.337203333333335,-71.08952166666667,16.6,327863.7966789692,4689331.094935162,19,T,1.1,"$GPGGA,183256.000,4220.2322,N,07105.3713,W,1,09,1.1,16.6,M,-33.8,M,,0000*58",
27,1711305177.1823106,GPS1_Frame,42.337203333333335,-71.08952166666667,16.6,327863.7966789692,4689331.094935162,19,T,1.1,"$GPGGA,183257.000,4220.2322,N,07105.3713,W,1,09,1.1,16.6,M,-33.8,M,,0000*59",
28,1711305178.1820526,GPS1_Frame,42.337203333333335,-71.08952166666667,16.6,327863.7966789692,4689331.094935162,19,T,1.1,"$GPGGA,183258.000,4220.2322,N,07105.3713,W,1,09,1.1,16.6,M,-33.8,M,,0000*56",
29,1711305179.1812346,GPS1_Frame,42.337201666666665,-71.08952333333333,16.6,327863.65482443175,4689330.91323851,19,T,1.1,"$GPGGA,183259.000,4220.2321,N,07105.3714,W,1,09,1.1,16.6,M,-33.8,M,,0000*53",
30,1711305180.1731684,GPS1_Frame,42.337201666666665,-71.08952333333333,16.6,327863.65482443175,4689330.91323851,19,T,1.1,"$GPGGA,183300.000,4220.2321,N,07105.3714,W,1,09,1.1,16.6,M,-33.8,M,,0000*5E",
31,1711305181.1831536,GPS1_Frame,42.337201666666665,-71.08952333333333,16.5,327863.65482443175,4689330.91323851,19,T,1.1,"$GPGGA,183301.000,4220.2321,N,07105.3714,W,1,09,1.1,16.5,M,-33.8,M,,0000*5C",
32,1711305182.1827614,GPS1_Frame,42.3372,-71.08952333333333,16.5,327863.6502767642,4689330.728167872,19,T,1.1,"$GPGGA,183302.000,4220.2320,N,07105.3714,W,1,09,1.1,16.5,M,-33.8,M,,0000*5E",
33,1711305183.1819458,GPS1_Frame,42.337196666666664,-71.08952333333333,16.5,327863.6411814296,4689330.358026596,19,T,1.1,"$GPGGA,183303.000,4220.2318,N,07105.3714,W,1,09,1.1,16.5,M,-33.8,M,,0000*54",
34,1711305184.181368,GPS1_Frame,42.337196666666664,-71.08952333333333,16.5,327863.6411814296,4689330.358026596,19,T,1.1,"$GPGGA,183304.000,4220.2318,N,07105.3714,W,1,09,1.1,16.5,M,-33.8,M,,0000*53",
35,1711305185.1738727,GPS1_Frame,42.337196666666664,-71.08952333333333,16.5,327863.6411814296,4689330.358026596,19,T,1.1,"$GPGGA,183305.000,4220.2318,N,07105.3714,W,1,09,1.1,16.5,M,-33.8,M,,0000*52",
36,1711305186.1757207,GPS1_Frame,42.337196666666664,-71.08952333333333,16.5,327863.6411814296,4689330.358026596,19,T,1.1,"$GPGGA,183306.000,4220.2318,N,07105.3714,W,1,09,1.1,16.5,M,-33.8,M,,0000*51",
37,1711305187.1829002,GPS1_Frame,42.337196666666664,-71.089525,16.4,327863.50387454114,4689330.361400586,19,T,1.1,"$GPGGA,183307.000,4220.2318,N,07105.3715,W,1,09,1.1,16.4,M,-33.8,M,,0000*50",
38,1711305188.1811836,GPS1_Frame,42.3372,-71.08952833333333,16.4,327863.2383561225,4689330.738289847,19,T,1.1,"$GPGGA,183308.000,4220.2320,N,07105.3717,W,1,09,1.1,16.4,M,-33.8,M,,0000*56",
39,1711305189.1820815,GPS1_Frame,42.337205,-71.089535,16.3,327862.70277168264,4689331.306997765,19,T,1.1,"$GPGGA,183309.000,4220.2323,N,07105.3721,W,1,09,1.1,16.3,M,-33.8,M,,0000*56",
40,1711305190.1807475,GPS1_Frame,42.33721,-71.08954333333334,16.3,327862.02988046926,4689331.879079745,19,T,1.3,"$GPGGA,183310.000,4220.2326,N,07105.3726,W,1,08,1.3,16.3,M,-33.8,M,,0000*5F",
41,1711305191.1693633,GPS1_Frame,42.33721666666667,-71.089555,16.2,327861.0869234102,4689332.642980505,19,T,1.3,"$GPGGA,183311.000,4220.2330,N,07105.3733,W,1,08,1.3,16.2,M,-33.8,M,,0000*5C",
42,1711305192.18125,GPS1_Frame,42.337225,-71.08956666666667,16.1,327860.14851432,4689333.591952037,19,T,1.3,"$GPGGA,183312.000,4220.2335,N,07105.3740,W,1,08,1.3,16.1,M,-33.8,M,,0000*5D",
43,1711305193.1810334,GPS1_Frame,42.33723833333333,-71.08958,16.0,327859.0864420642,4689335.0995097,19,T,1.3,"$GPGGA,183313.000,4220.2343,N,07105.3748,W,1,08,1.3,16.0,M,-33.8,M,,0000*54",
44,1711305194.190394,GPS1_Frame,42.33725666666667,-71.08959166666666,15.9,327858.17532050976,4689337.158905361,19,T,1.3,"$GPGGA,183314.000,4220.2354,N,07105.3755,W,1,08,1.3,15.9,M,-33.8,M,,0000*53",
45,1711305195.1824782,GPS1_Frame,42.33728,-71.089605,15.6,327857.1405363694,4689339.7768872045,19,T,1.1,"$GPGGA,183315.000,4220.2368,N,07105.3763,W,1,09,1.1,15.6,M,-33.8,M,,0000*54",
46,1711305196.1735523,GPS1_Frame,42.33730833333333,-71.089615,15.4,327856.39401001326,4689342.943332879,19,T,1.1,"$GPGGA,183316.000,4220.2385,N,07105.3769,W,1,09,1.1,15.4,M,-33.8,M,,0000*5C",
47,1711305197.1816375,GPS1_Frame,42.337335,-71.08962333333334,15.2,327855.7802431226,4689345.921333874,19,T,1.1,"$GPGGA,183317.000,4220.2401,N,07105.3774,W,1,09,1.1,15.2,M,-33.8,M,,0000*5C",
48,1711305198.1726816,GPS1_Frame,42.337361666666666,-71.08963,15.3,327855.30378338206,4689348.895960786,19,T,1.1,"$GPGGA,183318.000,4220.2417,N,07105.3778,W,1,09,1.1,15.3,M,-33.8,M,,0000*59",
49,1711305199.1864448,GPS1_Frame,42.33739,-71.08964,15.5,327854.55725913786,4689352.062406753,19,T,1.1,"$GPGGA,183319.000,4220.2434,N,07105.3784,W,1,09,1.1,15.5,M,-33.8,M,,0000*5C",
50,1711305200.1802514,GPS1_Frame,42.337426666666666,-71.08965166666667,15.7,327853.6961691065,4689356.157580256,19,T,1.1,"$GPGGA,183320.000,4220.2456,N,07105.3791,W,1,09,1.1,15.7,M,-33.8,M,,0000*54",
51,1711305201.1727395,GPS1_Frame,42.33747666666667,-71.08966666666667,15.8,327852.5968516733,4689361.740067535,19,T,1.1,"$GPGGA,183321.000,4220.2486,N,07105.3800,W,1,09,1.1,15.8,M,-33.8,M,,0000*50",
52,1711305202.1728692,GPS1_Frame,42.337535,-71.08968666666667,15.7,327851.1083580867,4689368.258031082,19,T,1.1,"$GPGGA,183322.000,4220.2521,N,07105.3812,W,1,09,1.1,15.7,M,-33.8,M,,0000*53",
53,1711305203.1727993,GPS1_Frame,42.337595,-71.08971,15.7,327849.3498037844,4689374.967814323,19,T,1.1,"$GPGGA,183323.000,4220.2557,N,07105.3826,W,1,09,1.1,15.7,M,-33.8,M,,0000*54",
54,1711305204.1781793,GPS1_Frame,42.33766,-71.089735,15.9,327847.4675919438,4689382.236184461,19,T,1.1,"$GPGGA,183324.000,4220.2596,N,07105.3841,W,1,09,1.1,15.9,M,-33.8,M,,0000*51",
55,1711305205.1730056,GPS1_Frame,42.33772666666667,-71.08976166666666,15.9,327845.4526270685,4689389.6930003315,19,T,1.1,"$GPGGA,183325.000,4220.2636,N,07105.3857,W,1,09,1.1,15.9,M,-33.8,M,,0000*5E",
56,1711305206.1738915,GPS1_Frame,42.33779833333333,-71.08979,16.2,327843.3140063831,4689397.708403388,19,T,1.1,"$GPGGA,183326.000,4220.2679,N,07105.3874,W,1,09,1.1,16.2,M,-33.8,M,,0000*5F",
57,1711305207.1703744,GPS1_Frame,42.337873333333334,-71.08981333333334,16.5,327841.5964042571,4689406.083825252,19,T,1.1,"$GPGGA,183327.000,4220.2724,N,07105.3888,W,1,09,1.1,16.5,M,-33.8,M,,0000*53",
